context_id,target_game,frame,vignette_family,total_points,n_vignettes,mean_points_per_vignette,normalized_family_mean_share
T01,TG,Aid,DG,121.66666666666667,6.0,20.27777777777778,0.1558996262680192
T01,TG,Aid,TG,733.3333333333334,8.0,91.66666666666667,0.7047517351841964
T01,TG,Aid,UG,145.0,8.0,18.125,0.1393486385477843
T02,TG,Control,DG,83.33333333333333,6.0,13.888888888888891,0.10810810810810811
T02,TG,Control,TG,806.6666666666666,8.0,100.83333333333333,0.7848648648648648
T02,TG,Control,UG,110.0,8.0,13.75,0.10702702702702702
T03,DG,Control,DG,816.6666666666666,6.0,136.11111111111111,0.8558951965065503
T03,DG,Control,TG,90.0,8.0,11.25,0.07074235807860263
T03,DG,Control,UG,93.33333333333333,8.0,11.666666666666666,0.07336244541484715
T04,DG,Bonus,DG,800.0,6.0,133.33333333333334,0.8421052631578948
T04,DG,Bonus,TG,103.33333333333333,8.0,12.916666666666666,0.08157894736842104
T04,DG,Bonus,UG,96.66666666666667,8.0,12.083333333333334,0.07631578947368421
T05,DG,Market,DG,773.3333333333334,6.0,128.88888888888889,0.8197879858657243
T05,DG,Market,TG,106.66666666666667,8.0,13.333333333333334,0.08480565371024736
T05,DG,Market,UG,120.0,8.0,15.0,0.09540636042402827
T06,UG,Aid,DG,146.66666666666666,6.0,24.444444444444443,0.18644067796610167
T06,UG,Aid,TG,116.66666666666667,8.0,14.583333333333334,0.11122881355932203
T06,UG,Aid,UG,736.6666666666666,8.0,92.08333333333333,0.7023305084745762
T07,UG,Control,DG,81.33333333333333,6.0,13.555555555555555,0.10558199913457378
T07,UG,Control,TG,98.66666666666667,8.0,12.333333333333334,0.09606231068801385
T07,UG,Control,UG,820.0,8.0,102.5,0.7983556901774124
T08,UG,Bonus,DG,173.33333333333334,6.0,28.88888888888889,0.2184873949579832
T08,UG,Bonus,TG,73.33333333333333,8.0,9.166666666666666,0.06932773109243696
T08,UG,Bonus,UG,753.3333333333334,8.0,94.16666666666667,0.7121848739495799
T09,DG,Aid,DG,753.3333333333334,6.0,125.55555555555556,0.8028419182948491
T09,DG,Aid,TG,110.0,8.0,13.75,0.08792184724689166
T09,DG,Aid,UG,136.66666666666666,8.0,17.083333333333332,0.10923623445825932
T10,TG,Bonus,DG,173.33333333333334,6.0,28.88888888888889,0.2184873949579832
T10,TG,Bonus,TG,750.0,8.0,93.75,0.7090336134453781
T10,TG,Bonus,UG,76.66666666666667,8.0,9.583333333333334,0.07247899159663866
T11,UG,Market,DG,123.33333333333333,6.0,20.555555555555557,0.15795090715048027
T11,UG,Market,TG,120.0,8.0,15.0,0.1152614727854856
T11,UG,Market,UG,756.6666666666666,8.0,94.58333333333333,0.7267876200640341
T12,TG,Market,DG,100.0,6.0,16.666666666666668,0.12903225806451615
T12,TG,Market,TG,776.6666666666666,8.0,97.08333333333333,0.7516129032258064
T12,TG,Market,UG,123.33333333333333,8.0,15.416666666666666,0.11935483870967742
