target_game,class,points_Aid,points_Bonus,points_Control,points_Market,share_Aid,share_Bonus,share_Control,share_Market,comparison,difference_points,difference_share
DG,C,283.3333333333333,398.3333333333333,295.6666666666667,335.0,0.2833333333333333,0.3983333333333334,0.2956666666666667,0.33499999999999996,Market-Control,39.333333333333314,0.039333333333333276
DG,M,346.6666666666667,376.6666666666667,352.6666666666667,316.6666666666667,0.3466666666666667,0.37666666666666665,0.3526666666666667,0.31666666666666665,Market-Control,-36.0,-0.03600000000000003
DG,S,370.0,225.0,351.6666666666667,348.3333333333333,0.36999999999999994,0.225,0.35166666666666674,0.34833333333333333,Market-Control,-3.3333333333333712,-0.0033333333333334103
TG,C-C,258.3333333333333,308.3333333333333,265.0,280.0,0.25833333333333336,0.30833333333333335,0.265,0.28,Market-Control,15.0,0.015000000000000013
TG,C-D,245.0,208.33333333333334,246.66666666666666,251.66666666666666,0.245,0.20833333333333334,0.24666666666666667,0.25166666666666665,Market-Control,5.0,0.004999999999999977
TG,M-C,265.0,320.0,248.33333333333334,231.66666666666666,0.26499999999999996,0.32,0.24833333333333332,0.2316666666666667,Market-Control,-16.666666666666686,-0.016666666666666635
TG,S-D,231.66666666666666,163.33333333333334,240.0,236.66666666666666,0.23166666666666666,0.16333333333333333,0.24,0.23666666666666666,Market-Control,-3.333333333333343,-0.003333333333333327
UG,C-C,215.0,286.6666666666667,256.6666666666667,285.0,0.215,0.2866666666666667,0.25666666666666665,0.285,Market-Control,28.333333333333314,0.02833333333333332
UG,C-D,195.0,210.0,255.0,261.6666666666667,0.19499999999999998,0.21,0.255,0.26166666666666666,Market-Control,6.666666666666686,0.006666666666666654
UG,M-C,261.6666666666667,331.6666666666667,241.66666666666666,180.0,0.26166666666666666,0.33166666666666667,0.24166666666666667,0.18000000000000002,Market-Control,-61.66666666666666,-0.06166666666666665
UG,S-C,328.3333333333333,171.66666666666666,246.66666666666666,273.3333333333333,0.3283333333333333,0.17166666666666666,0.24666666666666667,0.2733333333333333,Market-Control,26.666666666666657,0.026666666666666644
DG,C,283.3333333333333,398.3333333333333,295.6666666666667,335.0,0.2833333333333333,0.3983333333333334,0.2956666666666667,0.33499999999999996,Aid-Bonus,-115.0,-0.11500000000000005
DG,M,346.6666666666667,376.6666666666667,352.6666666666667,316.6666666666667,0.3466666666666667,0.37666666666666665,0.3526666666666667,0.31666666666666665,Aid-Bonus,-30.0,-0.02999999999999997
DG,S,370.0,225.0,351.6666666666667,348.3333333333333,0.36999999999999994,0.225,0.35166666666666674,0.34833333333333333,Aid-Bonus,145.0,0.14499999999999993
TG,C-C,258.3333333333333,308.3333333333333,265.0,280.0,0.25833333333333336,0.30833333333333335,0.265,0.28,Aid-Bonus,-50.0,-0.04999999999999999
TG,C-D,245.0,208.33333333333334,246.66666666666666,251.66666666666666,0.245,0.20833333333333334,0.24666666666666667,0.25166666666666665,Aid-Bonus,36.66666666666666,0.03666666666666665
TG,M-C,265.0,320.0,248.33333333333334,231.66666666666666,0.26499999999999996,0.32,0.24833333333333332,0.2316666666666667,Aid-Bonus,-55.0,-0.05500000000000005
TG,S-D,231.66666666666666,163.33333333333334,240.0,236.66666666666666,0.23166666666666666,0.16333333333333333,0.24,0.23666666666666666,Aid-Bonus,68.33333333333331,0.06833333333333333
UG,C-C,215.0,286.6666666666667,256.6666666666667,285.0,0.215,0.2866666666666667,0.25666666666666665,0.285,Aid-Bonus,-71.66666666666669,-0.07166666666666668
UG,C-D,195.0,210.0,255.0,261.6666666666667,0.19499999999999998,0.21,0.255,0.26166666666666666,Aid-Bonus,-15.0,-0.015000000000000013
UG,M-C,261.6666666666667,331.6666666666667,241.66666666666666,180.0,0.26166666666666666,0.33166666666666667,0.24166666666666667,0.18000000000000002,Aid-Bonus,-70.0,-0.07
UG,S-C,328.3333333333333,171.66666666666666,246.66666666666666,273.3333333333333,0.3283333333333333,0.17166666666666666,0.24666666666666667,0.2733333333333333,Aid-Bonus,156.66666666666666,0.15666666666666665
