target_game,vignette_family,n_vignettes,total_points_Aid,total_points_Bonus,total_points_Control,total_points_Market,mean_points_per_vignette_Aid,mean_points_per_vignette_Bonus,mean_points_per_vignette_Control,mean_points_per_vignette_Market,comparison,difference_total_points,difference_mean_points
DG,DG,6.0,753.3333333333334,800.0,816.6666666666666,773.3333333333334,125.55555555555556,133.33333333333334,136.11111111111111,128.88888888888889,Market-Control,-43.33333333333326,-7.2222222222222285
DG,TG,8.0,110.0,103.33333333333333,90.0,106.66666666666667,13.75,12.916666666666666,11.25,13.333333333333334,Market-Control,16.66666666666667,2.083333333333334
DG,UG,8.0,136.66666666666666,96.66666666666667,93.33333333333333,120.0,17.083333333333332,12.083333333333334,11.666666666666666,15.0,Market-Control,26.66666666666667,3.333333333333334
TG,DG,6.0,121.66666666666667,173.33333333333334,83.33333333333333,100.0,20.27777777777778,28.88888888888889,13.888888888888891,16.666666666666668,Market-Control,16.66666666666667,2.777777777777777
TG,TG,8.0,733.3333333333334,750.0,806.6666666666666,776.6666666666666,91.66666666666667,93.75,100.83333333333333,97.08333333333333,Market-Control,-30.0,-3.75
TG,UG,8.0,145.0,76.66666666666667,110.0,123.33333333333333,18.125,9.583333333333334,13.75,15.416666666666666,Market-Control,13.333333333333329,1.666666666666666
UG,DG,6.0,146.66666666666666,173.33333333333334,81.33333333333333,123.33333333333333,24.444444444444443,28.88888888888889,13.555555555555555,20.555555555555557,Market-Control,42.0,7.000000000000002
UG,TG,8.0,116.66666666666667,73.33333333333333,98.66666666666667,120.0,14.583333333333334,9.166666666666666,12.333333333333334,15.0,Market-Control,21.33333333333333,2.666666666666666
UG,UG,8.0,736.6666666666666,753.3333333333334,820.0,756.6666666666666,92.08333333333333,94.16666666666667,102.5,94.58333333333333,Market-Control,-63.33333333333337,-7.916666666666671
DG,DG,6.0,753.3333333333334,800.0,816.6666666666666,773.3333333333334,125.55555555555556,133.33333333333334,136.11111111111111,128.88888888888889,Aid-Bonus,-46.66666666666663,-7.777777777777786
DG,TG,8.0,110.0,103.33333333333333,90.0,106.66666666666667,13.75,12.916666666666666,11.25,13.333333333333334,Aid-Bonus,6.666666666666671,0.8333333333333339
DG,UG,8.0,136.66666666666666,96.66666666666667,93.33333333333333,120.0,17.083333333333332,12.083333333333334,11.666666666666666,15.0,Aid-Bonus,39.999999999999986,4.999999999999998
TG,DG,6.0,121.66666666666667,173.33333333333334,83.33333333333333,100.0,20.27777777777778,28.88888888888889,13.888888888888891,16.666666666666668,Aid-Bonus,-51.66666666666667,-8.61111111111111
TG,TG,8.0,733.3333333333334,750.0,806.6666666666666,776.6666666666666,91.66666666666667,93.75,100.83333333333333,97.08333333333333,Aid-Bonus,-16.66666666666663,-2.0833333333333286
TG,UG,8.0,145.0,76.66666666666667,110.0,123.33333333333333,18.125,9.583333333333334,13.75,15.416666666666666,Aid-Bonus,68.33333333333333,8.541666666666666
UG,DG,6.0,146.66666666666666,173.33333333333334,81.33333333333333,123.33333333333333,24.444444444444443,28.88888888888889,13.555555555555555,20.555555555555557,Aid-Bonus,-26.666666666666686,-4.444444444444446
UG,TG,8.0,116.66666666666667,73.33333333333333,98.66666666666667,120.0,14.583333333333334,9.166666666666666,12.333333333333334,15.0,Aid-Bonus,43.33333333333334,5.416666666666668
UG,UG,8.0,736.6666666666666,753.3333333333334,820.0,756.6666666666666,92.08333333333333,94.16666666666667,102.5,94.58333333333333,Aid-Bonus,-16.666666666666742,-2.083333333333343
