target_game,class,points_Aid,points_Bonus,points_Control,points_Market,share_Aid,share_Bonus,share_Control,share_Market,comparison,difference_points,difference_share
DG,C,241.66666666666666,508.3333333333333,320.0,306.6666666666667,0.2416666666666667,0.5083333333333334,0.32,0.30666666666666664,Market-Control,-13.333333333333314,-0.013333333333333364
DG,M,420.0,311.6666666666667,343.3333333333333,301.6666666666667,0.42,0.3116666666666667,0.3433333333333333,0.3016666666666667,Market-Control,-41.66666666666663,-0.04166666666666663
DG,S,338.3333333333333,180.0,336.6666666666667,391.6666666666667,0.3383333333333334,0.18000000000000002,0.33666666666666667,0.39166666666666666,Market-Control,55.0,0.05499999999999999
TG,C-C,142.66666666666666,225.0,155.33333333333334,153.33333333333334,0.14266666666666666,0.22499999999999998,0.15533333333333335,0.15333333333333332,Market-Control,-2.0,-0.0020000000000000295
TG,C-D,142.66666666666666,218.33333333333334,155.66666666666666,153.33333333333334,0.14266666666666666,0.21833333333333335,0.15566666666666668,0.15333333333333332,Market-Control,-2.3333333333333144,-0.002333333333333354
TG,M-C,191.66666666666666,171.66666666666666,139.0,171.66666666666666,0.19166666666666665,0.17166666666666666,0.139,0.17166666666666666,Market-Control,32.66666666666666,0.03266666666666665
TG,M-D,191.66666666666666,165.0,138.66666666666666,171.66666666666666,0.19166666666666665,0.165,0.1386666666666667,0.17166666666666666,Market-Control,33.0,0.032999999999999974
TG,S-C,165.66666666666666,111.66666666666667,205.66666666666666,175.0,0.16566666666666666,0.11166666666666668,0.20566666666666666,0.17500000000000002,Market-Control,-30.666666666666657,-0.030666666666666648
TG,S-D,165.66666666666666,108.33333333333333,205.66666666666666,175.0,0.16566666666666666,0.10833333333333334,0.20566666666666666,0.17500000000000002,Market-Control,-30.666666666666657,-0.030666666666666648
UG,C-C,146.66666666666666,203.33333333333334,162.33333333333334,115.0,0.14666666666666667,0.20333333333333334,0.16233333333333333,0.11499999999999999,Market-Control,-47.33333333333334,-0.04733333333333334
UG,C-D,143.33333333333334,203.33333333333334,162.0,115.0,0.14333333333333334,0.20333333333333334,0.162,0.11499999999999999,Market-Control,-47.0,-0.047000000000000014
UG,M-C,186.66666666666666,203.33333333333334,162.33333333333334,121.66666666666667,0.18666666666666668,0.20333333333333334,0.16233333333333333,0.12166666666666666,Market-Control,-40.66666666666667,-0.04066666666666667
UG,M-D,186.66666666666666,203.33333333333334,162.0,121.66666666666667,0.18666666666666668,0.20333333333333334,0.162,0.12166666666666666,Market-Control,-40.33333333333333,-0.040333333333333346
