context_id,target_game,frame,class,share,sd_across_agents,n_agents,ci95_low,ci95_high,points
T01,UG,Control,C-C,0.2683333333333333,0.014433756729740633,3,0.23247789391740603,0.3041887727492606,268.3333333333333
T01,UG,Control,C-D,0.24666666666666667,0.012583057392117923,3,0.21540861926861224,0.2779247140647211,246.66666666666669
T01,UG,Control,M-C,0.2316666666666667,0.030138568866708536,3,0.156798311163876,0.3065350221694574,231.66666666666669
T01,UG,Control,S-C,0.25333333333333335,0.0076376261582597384,3,0.23436041816463601,0.27230624850203067,253.33333333333334
T02,TG,Aid,C-C,0.235,0.02179449471770337,3,0.1808594737611736,0.2891405262388264,235.0
T02,TG,Aid,C-D,0.24666666666666667,0.015275252316519463,3,0.20872083632927202,0.2846124970040613,246.66666666666669
T02,TG,Aid,M-C,0.25666666666666665,0.020207259421636915,3,0.20646905148436842,0.3068642818489649,256.66666666666663
T02,TG,Aid,S-D,0.26166666666666666,0.02753785273643052,3,0.19325884818089992,0.33007448515243343,261.6666666666667
T03,TG,Market,C-C,0.25666666666666665,0.0028867513459481394,3,0.24949557878348116,0.26383775454985214,256.66666666666663
T03,TG,Market,C-D,0.24833333333333332,0.005773502691896261,3,0.2339911575669624,0.2626755090997043,248.33333333333331
T03,TG,Market,M-C,0.24333333333333332,0.0028867513459481273,3,0.23616224545014786,0.2505044212165188,243.33333333333331
T03,TG,Market,S-D,0.25166666666666665,0.0057735026918962675,3,0.2373244909002957,0.2660088424330376,251.66666666666666
T04,DG,Aid,C,0.2833333333333333,0.02254624876411445,3,0.22732534651778602,0.33934132014888063,283.3333333333333
T04,DG,Aid,M,0.36000000000000004,0.02179449471770333,3,0.30585947376117373,0.41414052623882636,360.00000000000006
T04,DG,Aid,S,0.3566666666666667,0.015275252316519458,3,0.31872083632927206,0.3946124970040613,356.6666666666667
T05,UG,Market,C-C,0.285,0.008660254037844354,3,0.2634867363504437,0.3065132636495563,285.0
T05,UG,Market,C-D,0.27,0.019999999999999983,3,0.220317245763125,0.31968275423687503,270.0
T05,UG,Market,M-C,0.17,0.0360555127546399,3,0.08043314104633562,0.2595668589536644,170.0
T05,UG,Market,S-C,0.27499999999999997,0.008660254037844354,3,0.25348673635044366,0.29651326364955627,274.99999999999994
T06,DG,Control,C,0.31666666666666665,0.0076376261582597384,3,0.2976937514979693,0.335639581835364,316.66666666666663
T06,DG,Control,M,0.3383333333333334,0.0057735026918962346,3,0.3239911575669625,0.35267550909970424,338.33333333333337
T06,DG,Control,S,0.345,0.004999999999999949,3,0.33257931144078134,0.3574206885592186,345.0
T07,UG,Bonus,C-C,0.27666666666666667,0.02565800719723443,3,0.2129286433772582,0.34040468995607515,276.6666666666667
T07,UG,Bonus,C-D,0.2383333333333333,0.020816659994661327,3,0.18662188320596593,0.2900447834607007,238.33333333333331
T07,UG,Bonus,M-C,0.2733333333333334,0.05008326400438909,3,0.14891960848780367,0.3977470581788631,273.33333333333337
T07,UG,Bonus,S-C,0.21166666666666667,0.01607275126832159,3,0.1717397391079445,0.25159359422538885,211.66666666666666
T08,TG,Bonus,C-C,0.285,0.009999999999999974,3,0.2601586228815625,0.30984137711843746,285.0
T08,TG,Bonus,C-D,0.205,0.018027756377319945,3,0.1602165705231678,0.24978342947683219,205.0
T08,TG,Bonus,M-C,0.3233333333333333,0.03403429642777026,3,0.23878745408104007,0.40787921258562654,323.3333333333333
T08,TG,Bonus,S-D,0.18666666666666668,0.02565800719723443,3,0.1229286433772582,0.2504046899560751,186.66666666666669
T09,TG,Control,C-C,0.25833333333333336,0.0057735026918962545,3,0.24399115756696246,0.2726755090997043,258.33333333333337
T09,TG,Control,C-D,0.24166666666666667,0.0028867513459481338,3,0.2344955787834812,0.24883775454985213,241.66666666666666
T09,TG,Control,M-C,0.25333333333333335,0.0057735026918962675,3,0.2389911575669624,0.2676755090997043,253.33333333333334
T09,TG,Control,S-D,0.24666666666666667,0.0028867513459481338,3,0.2394955787834812,0.25383775454985213,246.66666666666669
T10,DG,Market,C,0.3333333333333333,0.0028867513459481273,3,0.3261622454501479,0.34050442121651875,333.3333333333333
T10,DG,Market,M,0.31,0.0050000000000000044,3,0.2975793114407812,0.3224206885592188,310.0
T10,DG,Market,S,0.35666666666666663,0.0057735026918962545,3,0.3423244909002957,0.37100884243303756,356.66666666666663
T11,DG,Bonus,C,0.40499999999999997,0.04769696007084729,3,0.2865141827477026,0.5234858172522974,404.99999999999994
T11,DG,Bonus,M,0.37333333333333335,0.02081665999466134,3,0.32162188320596596,0.42504478346070074,373.33333333333337
T11,DG,Bonus,S,0.22166666666666668,0.03547299442298794,3,0.13354686346849923,0.30978646986483416,221.66666666666669
T12,UG,Aid,C-C,0.22,0.021794494717703363,3,0.1658594737611736,0.2741405262388264,220.0
T12,UG,Aid,C-D,0.21666666666666667,0.007637626158259737,3,0.19769375149796933,0.23563958183536401,216.66666666666669
T12,UG,Aid,M-C,0.205,0.030413812651491092,3,0.12944790103148032,0.2805520989685196,205.0
T12,UG,Aid,S-C,0.35833333333333334,0.03329164059239696,3,0.2756323134486117,0.44103435321805495,358.3333333333333
