context_id,target_game,frame,vignette_family,normalized_family_mean_share,sd_across_agents,n_agents,ci95_low,ci95_high,total_points,n_vignettes,mean_points_per_vignette
T01,UG,Control,DG,0.13727670263118083,0.019022046876430145,3,0.09002331862898105,0.1845300866333806,106.66666666666667,6.0,17.777777777777775
T01,UG,Control,TG,0.0901370141528728,0.01478735045383284,3,0.05340319923225681,0.1268708290734888,93.33333333333333,8.0,11.666666666666666
T01,UG,Control,UG,0.7725862832159464,0.022044836508261074,3,0.7178238734943451,0.8273486929375476,800.0,8.0,100.0
T02,TG,Aid,DG,0.21832907716188474,0.02994501669898658,3,0.14394153189814124,0.29271662242562824,173.33333333333334,6.0,28.88888888888889
T02,TG,Aid,TG,0.6588171598818287,0.05738445836106447,3,0.5162662627933808,0.8013680569702765,696.6666666666666,8.0,87.08333333333333
T02,TG,Aid,UG,0.12285376295628662,0.043255918911151985,3,0.015400103528638617,0.23030742238393465,130.0,8.0,16.25
T03,TG,Market,DG,0.11631582315621404,0.03311584178739899,3,0.03405151171268497,0.1985801345997431,90.0,6.0,15.0
T03,TG,Market,TG,0.7674445532751722,0.08180198180643115,3,0.5642371653662601,0.9706519411840844,790.0,8.0,98.75
T03,TG,Market,UG,0.1162396235686138,0.05020803821537088,3,-0.008484057599881314,0.24096330473710892,120.0,8.0,15.0
T04,DG,Aid,DG,0.7907174189896703,0.058821592446091815,3,0.64459648292363,0.9368383550557106,740.0,6.0,123.33333333333333
T04,DG,Aid,TG,0.09252157917079383,0.023742795800489977,3,0.0335412047381912,0.15150195360339647,115.0,8.0,14.375
T04,DG,Aid,UG,0.11676100183953586,0.03739572788689532,3,0.02386486393385212,0.2096571397452196,145.0,8.0,18.125
T05,UG,Market,DG,0.13730355665839536,0.014326309409171865,3,0.10171503118352954,0.17289208213326118,106.66666666666667,6.0,17.77777777777778
T05,UG,Market,TG,0.12882547559966914,0.056052543762250835,3,-0.010416762204910474,0.26806771340424873,133.33333333333334,8.0,16.666666666666668
T05,UG,Market,UG,0.7338709677419355,0.05036288708385811,3,0.608762620659595,0.858979314824276,760.0,8.0,95.0
T06,DG,Control,DG,0.8558615792279628,0.012599417608518895,3,0.8245628907993727,0.8871602676565529,816.6666666666666,6.0,136.11111111111111
T06,DG,Control,TG,0.06550056946256116,0.004492876727796116,3,0.054339644948377674,0.07666149397674465,83.33333333333333,8.0,10.416666666666666
T06,DG,Control,UG,0.07863785130947609,0.013942440341298589,3,0.04400290946252459,0.1132727931564276,100.0,8.0,12.5
T07,UG,Bonus,DG,0.2883184089022887,0.04373346915742268,3,0.1796784488985794,0.396958368905998,233.33333333333334,6.0,38.88888888888889
T07,UG,Bonus,TG,0.07762823594852365,0.03975320706554258,3,-0.021124204889724177,0.1763806767867715,83.33333333333333,8.0,10.416666666666666
T07,UG,Bonus,UG,0.6340533551491876,0.005956122659208529,3,0.6192575262350806,0.6488491840632946,683.3333333333334,8.0,85.41666666666667
T08,TG,Bonus,DG,0.30361265510570273,0.04004674157934242,3,0.20413103411199698,0.4030942760994085,246.66666666666666,6.0,41.11111111111111
T08,TG,Bonus,TG,0.606901217466524,0.03954347779030641,3,0.508669773030168,0.70513266190288,656.6666666666666,8.0,82.08333333333333
T08,TG,Bonus,UG,0.08948612742777319,0.04237824795473872,3,-0.01578727647845865,0.19475953133400503,96.66666666666667,8.0,12.083333333333334
T09,TG,Control,DG,0.11650485436893204,0.0,3,0.11650485436893204,0.11650485436893204,90.0,6.0,15.0
T09,TG,Control,TG,0.7896440129449838,0.01121068483863349,3,0.7617951279617393,0.8174928979282282,813.3333333333334,8.0,101.66666666666667
T09,TG,Control,UG,0.09385113268608414,0.011210684838633507,3,0.06600224770283965,0.12170001766932863,96.66666666666667,8.0,12.083333333333334
T10,DG,Market,DG,0.8080862817704922,0.04523088631350992,3,0.6957265313389848,0.9204460322019997,760.0,6.0,126.66666666666667
T10,DG,Market,TG,0.09614238298448824,0.04313156031764378,3,-0.011002352571234192,0.20328711854021067,120.0,8.0,15.0
T10,DG,Market,UG,0.09577133524501945,0.008272487059257639,3,0.07522133817037813,0.11632133231966077,120.0,8.0,15.0
T11,DG,Bonus,DG,0.8217568217568217,0.06325865635082054,3,0.6646136079151841,0.9789000355984594,776.6666666666666,6.0,129.44444444444446
T11,DG,Bonus,TG,0.07739427739427739,0.04695415284618319,3,-0.039246304418601954,0.19403485920715674,96.66666666666667,8.0,12.083333333333334
T11,DG,Bonus,UG,0.10084890084890084,0.01989151305115292,3,0.05143564313289968,0.150262158564902,126.66666666666667,8.0,15.833333333333334
T12,UG,Aid,DG,0.22609305231716426,0.042605383813758585,3,0.12025541165782914,0.33193069297649935,180.0,6.0,30.0
T12,UG,Aid,TG,0.10384035111781649,0.03302212380746785,3,0.021808848042512194,0.1858718541931208,110.0,8.0,13.75
T12,UG,Aid,UG,0.6700665965650193,0.04654396748134022,3,0.5544449716857928,0.7856882214442459,710.0,8.0,88.75
