fold,penalty_lambda,n_train,n_test,log_loss,accuracy,converged,iterations,gradient_max,message,mean_log_loss,selected
2,2.0,3600,1200,1.1996424689398943,0.49666666666666665,True,48,0.0022571420768109363,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1919799300246199,False
3,2.0,3600,1200,1.1898072954088281,0.49833333333333335,True,55,0.00334063613275859,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1919799300246199,False
4,2.0,3600,1200,1.18583013585226,0.44083333333333335,True,54,0.003563452488224761,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1919799300246199,False
1,4.0,3600,1200,1.2246589238825731,0.45,True,36,0.0005414989158341044,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.225584555237381,False
2,4.0,3600,1200,1.231196649646401,0.45416666666666666,True,39,0.0030520653946609633,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.225584555237381,False
3,4.0,3600,1200,1.2241619351953439,0.43583333333333335,True,29,0.005102148644953175,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.225584555237381,False
4,4.0,3600,1200,1.2223207122252062,0.42916666666666664,True,42,0.0011691190649787409,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.225584555237381,False
1,8.0,3600,1200,1.2485532289937495,0.445,True,20,0.00588238686711362,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2503776265261097,False
2,8.0,3600,1200,1.2548667094898955,0.45416666666666666,True,26,0.0006761271824728965,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2503776265261097,False
3,8.0,3600,1200,1.2493786313898934,0.4216666666666667,True,19,0.007358512933375749,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2503776265261097,False
4,8.0,3600,1200,1.2487119362309003,0.4066666666666667,True,22,0.0009638004610135198,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2503776265261097,False
1,16.0,3600,1200,1.2632569278440633,0.3975,True,17,0.0007988905605724739,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2655563249279231,False
2,16.0,3600,1200,1.2694597296603816,0.3958333333333333,True,16,0.003841984314330915,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2655563249279231,False
3,16.0,3600,1200,1.2647815950437644,0.4216666666666667,True,19,0.0007925577089373803,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2655563249279231,False
4,16.0,3600,1200,1.264727047163483,0.38,True,15,0.00035904536766950823,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2655563249279231,False
1,32.0,3600,1200,1.2714225032901683,0.38916666666666666,True,29,0.00105720380696539,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2739654517460475,False
2,32.0,3600,1200,1.277569812568285,0.3958333333333333,True,31,0.000535593790225164,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2739654517460475,False
3,32.0,3600,1200,1.2733070031955174,0.37666666666666665,True,31,0.0010745053006200322,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2739654517460475,False
4,32.0,3600,1200,1.273562487930219,0.36583333333333334,True,29,0.0004833331602487334,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2739654517460475,False
