replicate,term,coefficient,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
1,b_C_vs_N,-0.01768340396232555,True,159,0.004308233799102612,1190,1125
1,b_M_vs_N,0.04677506865022109,True,159,0.004308233799102612,1190,1125
1,b_S_vs_N,-0.009871805705041845,True,159,0.004308233799102612,1190,1125
2,b_C_vs_N,-0.031730354556571416,True,129,0.002210066456046711,1210,1125
2,b_M_vs_N,0.025890392364859245,True,129,0.002210066456046711,1210,1125
2,b_S_vs_N,-0.00907846175776286,True,129,0.002210066456046711,1210,1125
3,b_C_vs_N,-0.018014934408398003,True,146,0.0013673949911758854,1205,1125
3,b_M_vs_N,0.03355685497340105,True,146,0.0013673949911758854,1205,1125
3,b_S_vs_N,-0.00871232372514253,True,146,0.0013673949911758854,1205,1125
4,b_C_vs_N,-0.017047479345766718,True,142,0.0012857547973266215,1193,1125
4,b_M_vs_N,0.040811295632609754,True,142,0.0012857547973266215,1193,1125
4,b_S_vs_N,-0.0043043708873189025,True,142,0.0012857547973266215,1193,1125
5,b_C_vs_N,-0.012085056024753543,True,148,0.004627174874083928,1200,1125
5,b_M_vs_N,0.0395003342085868,True,148,0.004627174874083928,1200,1125
5,b_S_vs_N,-0.0051683878267841515,True,148,0.004627174874083928,1200,1125
6,b_C_vs_N,-0.008183689479223473,True,126,0.002488129029966396,1196,1125
6,b_M_vs_N,0.03192738589899548,True,126,0.002488129029966396,1196,1125
6,b_S_vs_N,-0.01007178145042011,True,126,0.002488129029966396,1196,1125
7,b_C_vs_N,-0.012259759694430147,True,155,0.0005966045447971524,1208,1125
7,b_M_vs_N,0.029215934361027103,True,155,0.0005966045447971524,1208,1125
7,b_S_vs_N,-0.017201118470910735,True,155,0.0005966045447971524,1208,1125
8,b_C_vs_N,-0.018767166445882416,True,154,0.0036350734171441967,1187,1125
8,b_M_vs_N,0.05113192064920418,True,154,0.0036350734171441967,1187,1125
8,b_S_vs_N,-0.0075411492983505106,True,154,0.0036350734171441967,1187,1125
9,b_C_vs_N,-0.015065538602226706,True,138,0.0021181654468012123,1208,1125
9,b_M_vs_N,0.028218054667774863,True,138,0.0021181654468012123,1208,1125
9,b_S_vs_N,-0.004641261054329772,True,138,0.0021181654468012123,1208,1125
10,b_C_vs_N,-0.019347853382512364,True,130,0.0028392518445925496,1194,1125
10,b_M_vs_N,0.03621797057207789,True,130,0.0028392518445925496,1194,1125
10,b_S_vs_N,0.0039731584419462175,True,130,0.0028392518445925496,1194,1125
11,b_C_vs_N,-0.012557353570184492,True,142,0.0009452582407045718,1193,1125
11,b_M_vs_N,0.0316172890185753,True,142,0.0009452582407045718,1193,1125
11,b_S_vs_N,-0.009741841657924155,True,142,0.0009452582407045718,1193,1125
12,b_C_vs_N,-0.017425924002535582,True,151,0.0017913287254793797,1202,1125
12,b_M_vs_N,0.040880961249402145,True,151,0.0017913287254793797,1202,1125
12,b_S_vs_N,-0.010198248020649569,True,151,0.0017913287254793797,1202,1125
13,b_C_vs_N,-0.016388870364746868,True,131,0.002272709189339417,1184,1125
13,b_M_vs_N,0.03865659812955191,True,131,0.002272709189339417,1184,1125
13,b_S_vs_N,-0.019360788891602355,True,131,0.002272709189339417,1184,1125
14,b_C_vs_N,-0.02084562133818994,True,134,0.004253242349664843,1184,1125
14,b_M_vs_N,0.041693184047584125,True,134,0.004253242349664843,1184,1125
14,b_S_vs_N,-0.013711413837317039,True,134,0.004253242349664843,1184,1125
15,b_C_vs_N,-0.021185213421942857,True,134,0.0027401070855588294,1201,1125
15,b_M_vs_N,0.03417517950633918,True,134,0.0027401070855588294,1201,1125
15,b_S_vs_N,-0.008026154191010593,True,134,0.0027401070855588294,1201,1125
16,b_C_vs_N,-0.02358899534748548,True,125,0.004588186207817202,1197,1125
16,b_M_vs_N,0.03894924008664362,True,125,0.004588186207817202,1197,1125
16,b_S_vs_N,-0.017257232742611872,True,125,0.004588186207817202,1197,1125
17,b_C_vs_N,-0.006980073303030342,True,141,0.0012138936166152803,1205,1125
17,b_M_vs_N,0.0454800732579546,True,141,0.0012138936166152803,1205,1125
17,b_S_vs_N,-0.0056091335376001715,True,141,0.0012138936166152803,1205,1125
