fold,penalty_lambda,n_train,n_test,n_unseen_test_frames,log_loss,accuracy,converged,iterations,gradient_max,message,mean_log_loss,selected
2,2.0,2281,778,52,0.9070219915155258,0.570694087403599,True,39,0.0028739363761070003,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9258505410289993,False
3,2.0,2299,760,44,0.9502390088818667,0.5526315789473685,True,39,0.00039806639117756504,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9258505410289993,False
4,2.0,2303,756,47,0.9195932769808988,0.5608465608465608,True,39,0.00044124539893886094,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9258505410289993,False
1,4.0,2294,765,35,0.9505690649570143,0.5477124183006536,True,28,0.00037925710303099436,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9487749181018813,False
2,4.0,2281,778,52,0.9296435047431186,0.5655526992287918,True,24,0.0006625952493046761,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9487749181018813,False
3,4.0,2299,760,44,0.9719953500862896,0.5460526315789473,True,29,0.0002043095712291887,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9487749181018813,False
4,4.0,2303,756,47,0.9428917526211028,0.5568783068783069,True,30,0.0005338864935153786,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9487749181018813,False
1,8.0,2294,765,35,0.9677535357823425,0.5464052287581699,True,17,0.0005030700820458645,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9652721708481695,False
2,8.0,2281,778,52,0.9457565066364619,0.5616966580976864,True,19,0.00025907951000370133,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9652721708481695,False
3,8.0,2299,760,44,0.9879757888301545,0.5355263157894737,True,22,0.00015169849818530423,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9652721708481695,False
4,8.0,2303,756,47,0.9596028521437193,0.5515873015873016,True,22,0.0014588400987740613,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9652721708481695,False
1,16.0,2294,765,35,0.9780946312323127,0.5464052287581699,True,13,0.00018000809254559158,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9752258470836592,False
2,16.0,2281,778,52,0.9554389924312638,0.5616966580976864,True,13,0.0008186558051224146,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9752258470836592,False
3,16.0,2299,760,44,0.9976982294929738,0.5355263157894737,True,13,0.00031677360386339615,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9752258470836592,False
4,16.0,2303,756,47,0.9696715351780866,0.5515873015873016,True,13,0.00026974239338883876,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9752258470836592,False
1,32.0,2294,765,35,0.9837726543015982,0.5464052287581699,True,20,0.00015967217960177749,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.980697899009626,False
2,32.0,2281,778,52,0.9607531545780064,0.5616966580976864,True,21,3.113012749267341e-05,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.980697899009626,False
3,32.0,2299,760,44,1.0030627507501755,0.5355263157894737,True,19,0.0008745679466386491,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.980697899009626,False
4,32.0,2303,756,47,0.9752030364087242,0.5515873015873016,True,20,0.00024774727443777067,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.980697899009626,False
