frame_id,PROLIFIC_PID,treatment,Market,allocation_kept,share_sent,cell,substantive_classifications,fitted_probability_M,fitted_probability_S,fitted_probability_C,b_S_vs_M,b_C_vs_M,fitted_probability_sum
646a2395c7c21c5772c607ab|lt|0,646a2395c7c21c5772c607ab,lt,0,6.0,0.5,lt_control,3,0.5536489939334226,0.33808123508662397,0.10826977097995341,0.008237116911623078,-0.6382412113014765,1.0
646ba54cb721ef9332b21599|kw|1,646ba54cb721ef9332b21599,kw,1,12.0,0.0,kw_market,4,0.20271562242225905,0.07753299825649124,0.7197513793212497,-0.6201774646505707,2.242114137829493,1.0
64784c2bc85267b924936813|lt|1,64784c2bc85267b924936813,lt,1,10.0,0.16666666666666666,lt_market,4,0.37686037703147,0.24656488395282714,0.3765747390157028,0.027446962451681992,0.9874347094041124,1.0
647be991db1ffbd6bbcc5bc6|kw|0,647be991db1ffbd6bbcc5bc6,kw,0,6.0,0.5,kw_control,3,0.6727549024720801,0.20828437569541414,0.11896072183250578,-0.7846733316579467,-0.7536000064338716,1.0
64834ca600dfc800b8242f95|kw|0,64834ca600dfc800b8242f95,kw,0,6.0,0.5,kw_control,4,0.47558389059755335,0.4375027227720425,0.08691338663040417,0.4999899617467593,-0.6953279738599897,1.0
6486aa634b94f1dd568fd487|kw|0,6486aa634b94f1dd568fd487,kw,0,6.0,0.5,kw_control,2,0.6189235521397591,0.24974607101431745,0.13133037684592339,-0.4812064939287659,-0.5662493987326185,1.0
64badb09518eb5b219132eea|kw|1,64badb09518eb5b219132eea,kw,1,6.0,0.5,kw_market,4,0.37686037703147013,0.2465648839528271,0.37657473901570276,0.027446962451681836,0.987434709404112,1.0
64d1362c539c9befa2bfc914|kw|1,64d1362c539c9befa2bfc914,kw,1,6.0,0.5,kw_market,1,0.5614721618907855,0.2887907164516433,0.14973712165757125,-0.2017926253980055,-0.3328454272872941,1.0
64d542239dcf23c895827837|kw|1,64d542239dcf23c895827837,kw,1,8.0,0.3333333333333333,kw_market,1,0.6325603126239555,0.19109305209287616,0.17634663528316835,-0.8179670088211349,-0.29926356610874505,1.0
64f386a35e66f7ad22b38ccf|lt|1,64f386a35e66f7ad22b38ccf,lt,1,10.0,0.16666666666666666,lt_market,3,0.23461727704006505,0.7073548929665125,0.05802782999342249,1.8919858047863864,-0.36516277579690365,1.0000000000000002
64fded008087c1afa0b47d7b|kw|0,64fded008087c1afa0b47d7b,kw,0,7.0,0.4166666666666667,kw_control,3,0.7164017192236128,0.157415600871824,0.12618267990456317,-1.1723744787604942,-0.7633122844223517,1.0
650c3ea3bb7f3b500e2db7a1|kw|1,650c3ea3bb7f3b500e2db7a1,kw,1,9.0,0.25,kw_market,4,0.2521539010687289,0.21482173800159593,0.5330243609296752,0.28127911999819255,1.7359702668941404,1.0
650c409b6112d165091bb2cc|lt|1,650c409b6112d165091bb2cc,lt,1,12.0,0.0,lt_market,1,0.37245980811201235,0.21164566774328386,0.41589452414470385,-0.1400223255783484,1.0952072891580533,1.0
650d9240b7f9fcecaf1f9656|kw|1,650d9240b7f9fcecaf1f9656,kw,1,3.5,0.7083333333333334,kw_market,1,0.38594566619153103,0.18216393976634837,0.4318903940421206,-0.3500602852833942,1.0942671158012953,1.0
65181d02b39c0df9f861bdf7|lt|1,65181d02b39c0df9f861bdf7,lt,1,9.0,0.25,lt_market,4,0.2521539010687289,0.21482173800159593,0.5330243609296752,0.28127911999819255,1.7359702668941404,1.0
651979733e35af04ce5fca4e|kw|1,651979733e35af04ce5fca4e,kw,1,6.0,0.5,kw_market,2,0.6349160337250648,0.23064168940329202,0.13444227687164323,-0.6029977731687938,-0.5704899013292544,1.0
651c4484ba17050f6b716614|kw|0,651c4484ba17050f6b716614,kw,0,6.0,0.5,kw_control,4,0.6113844456907875,0.28734681401254125,0.10126874029667118,-0.2987791483951758,-0.8101717523828659,1.0
652a96faf5b1e3aec0272277|kw|1,652a96faf5b1e3aec0272277,kw,1,12.0,0.0,kw_market,2,0.3643754818740665,0.31691720310196764,0.3187073150239659,0.36728487398032705,0.8612143271613907,1.0
652d345392daf75ed7f323a6|kw|0,652d345392daf75ed7f323a6,kw,0,12.0,0.0,kw_control,3,0.4321998537512024,0.3101338358189695,0.25766631042982807,0.16215839950815386,0.47602137487867086,1.0
652d611038c822d956559d74|kw|1,652d611038c822d956559d74,kw,1,6.0,0.5,kw_market,4,0.6113844456907875,0.28734681401254125,0.10126874029667118,-0.2987791483951758,-0.8101717523828659,1.0
652fbe161a35986b7fbfc940|kw|0,652fbe161a35986b7fbfc940,kw,0,10.0,0.16666666666666666,kw_control,4,0.6113844456907875,0.28734681401254125,0.10126874029667118,-0.2987791483951758,-0.8101717523828659,1.0
