outcome_vs_moral,term,coefficient,std_error_clustered_pid,p_value,ci95_low,ci95_high,n,n_participants,pseudo_r_squared
S,const,-1.9788153631870364,0.19952349692812155,3.486779840551782e-23,-2.369874231235643,-1.58775649513843,2875,1682,0.08744033338785462
S,weight_S,2.785524949983181,0.6154864082302393,6.018754552668227e-06,1.579193756877995,3.9918561430883672,2875,1682,0.08744033338785462
S,weight_C,3.5412126245227187,0.942000960868435,0.00017042672253409915,1.6949246678184613,5.387500581226976,2875,1682,0.08744033338785462
S,LT_Control,-0.2543166406726338,0.09449337620674386,0.007115921940162564,-0.4395202548154459,-0.06911302652982179,2875,1682,0.08744033338785462
S,KW_Market,-0.497775725889355,0.23662515776723456,0.03540927941552647,-0.9615525129492429,-0.03399893882946703,2875,1682,0.08744033338785462
S,LT_Market,-0.056488471794552964,0.21951364632715226,0.796920430406855,-0.4867273127108345,0.3737503691217286,2875,1682,0.08744033338785462
S,second_trial,-0.023202444697118872,0.07252332782774162,0.7490208056153389,-0.16534555527848394,0.11894066588424618,2875,1682,0.08744033338785462
S,market_control_study,0.422792903386485,0.11351035914232306,0.00019554169766759847,0.20031668759532495,0.6452691191776451,2875,1682,0.08744033338785462
C,const,-5.00458973003142,0.5156987747396863,2.8853679098576423e-22,-6.015340755392639,-3.993838704670201,2875,1682,0.08744033338785462
C,weight_S,2.854807906625499,0.9948988693951526,0.004111924194965816,0.904841954351381,4.804773858899617,2875,1682,0.08744033338785462
C,weight_C,4.310615429984922,1.2276037556685482,0.00044574274700644797,1.9045562815884591,6.716674578381385,2875,1682,0.08744033338785462
C,LT_Control,-0.21331114110440957,0.448193113480552,0.63412012733677,-1.091753501645165,0.6651312194363457,2875,1682,0.08744033338785462
C,KW_Market,1.949527139148252,0.5016949654586331,0.00010195927435758346,0.9662230756242647,2.932831202672239,2875,1682,0.08744033338785462
C,LT_Market,2.2952374305033416,0.46802592571284873,9.386536377616383e-07,1.3779234722751392,3.212551388731544,2875,1682,0.08744033338785462
C,second_trial,-0.7106605289082748,0.18530307740719643,0.00012550027472606236,-1.0738478868508174,-0.34747317096573205,2875,1682,0.08744033338785462
C,market_control_study,0.41950872727119043,0.4488194319829089,0.3499461380693626,-0.4601611949770355,1.2991786495194164,2875,1682,0.08744033338785462
