subject_id,treatment_cell,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
market_control::lt::55146e64fdf99b253d5b1c5d,lt_market,-0.3903311438018378,-0.14390683507284507,2,0.5463668062096525,0.3134894012607265,0.14014379252962103
market_control::lt::5589480afdf99b5ccca3c1ea,lt_market,0.2604088929240888,-0.080868427145936,1,0.42640757389984707,0.45738420142823466,0.1162082246719183
market_control::lt::5589b65afdf99b118adfa595,lt_market,0.4163404946962477,-0.10281387486093779,2,0.39805129076336454,0.49586100601943106,0.10608770321720444
market_control::lt::562cee16733ea00011163376,lt_market,0.16254424495575656,0.1938479478199508,4,0.4281976694711286,0.4187268731337166,0.15307545739515482
market_control::lt::5664b80b4ef50400127da023,lt_market,-0.046215248498630936,0.6297723266947416,3,0.4253378666758919,0.34137682973293026,0.23328530359117777
market_control::lt::5698045b8d9be6000a879f95,lt_market,-0.33617933209989836,0.3506933293725338,2,0.49432810208075584,0.2995175034544114,0.20615439446483275
market_control::lt::56b4fd68a9d33a000a891ff9,lt_market,-0.5416148878518917,0.1326625249123156,4,0.545522495153978,0.2708071725366765,0.18367033230934557
market_control::lt::56c63573305eaa000bf21126,lt_market,-0.06716916080694475,-0.16037122510299504,3,0.49137359826586535,0.38470116707832575,0.12392523465580896
market_control::lt::56de005e6893b5000ce95d71,lt_market,0.5113475364077094,-0.1298597868487042,2,0.3811086906595954,0.520044046815243,0.0988472625251617
market_control::lt::56e68157f6ed90000ba5855c,lt_market,-0.16893168199384156,0.36340560493519247,1,0.4685573923592175,0.3335451093663458,0.1978974982744367
market_control::lt::56fa7c2e51c6bf000ccb2954,lt_market,0.1325920837816999,-0.2178274544650158,4,0.45738174397889575,0.43370366772409075,0.10891458829701349
market_control::lt::571cd566e1d2ec0013a68b64,lt_market,-0.24241999018484217,-0.04504259453363697,1,0.5142658814601118,0.34036104726429617,0.14537307127559207
market_control::lt::572f897aad13160009008979,lt_market,0.2604088929240888,-0.080868427145936,1,0.42640757389984707,0.45738420142823466,0.1162082246719183
market_control::lt::574061ecd700ea000ef44a8f,lt_market,-0.33617933209989836,0.35069332937253367,2,0.49432810208075584,0.2995175034544114,0.20615439446483272
market_control::lt::578901354a84da00014c41cf,lt_market,0.3502384522091585,-0.17651577956845124,3,0.4138087361209157,0.48363370359318547,0.10255756028589888
market_control::lt::57b6dfafe2d5a60001099543,lt_market,0.03731886017141742,0.3226591128731309,2,0.43983182557390177,0.3816693115022103,0.17849886292388792
market_control::lt::57e7b82b21d77800018e51fe,lt_market,0.056834278311391595,-0.08754987291404444,2,0.4644432898183499,0.40973518842229545,0.12582152175935457
market_control::lt::582086da97b5100001b9b830,lt_market,0.6322967281518345,-0.14495761439176233,3,0.3586812075600192,0.54972327990078,0.09159551253920085
market_control::lt::58635484a73baa00010db537,lt_market,-0.40233666069201396,-0.221939782510233,3,0.55415909970848,0.31421786772975235,0.13162303256176772
