subject_id,treatment_cell,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
market_control::kw::569c01a19e8363000b2ffa33,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::56aa77fc638440000b8b4f4a,kw_control,0.05569138459223965,0.7779644050161401,4,0.7084072414820392,0.2360778812497956,0.0555148772681653
market_control::kw::56fc1245f37e08000cbea351,kw_control,-0.6843279864440104,-0.11026260710346344,4,0.8013508869904555,0.17108433562849146,0.027564777381053
market_control::kw::57509aade19ee9000680df04,kw_control,-0.6636735400568929,0.7499339763842658,4,0.7715572501077551,0.16592244856587485,0.06252030132636997
market_control::kw::577bfa3c9fecfe0001a5bcbf,kw_control,-0.6843279864440104,-0.11026260710346344,4,0.8013508869904555,0.17108433562849146,0.027564777381053
market_control::kw::5786a6cc07724c000114b618,kw_control,0.2383852481652708,-0.019197454319884847,1,0.7128710650642286,0.2623504058982448,0.02477852903752663
market_control::kw::57892012454e5400015f35c4,kw_control,-0.06807469201004503,-0.026179810674385202,1,0.7436141316380389,0.23004848384176463,0.02633738452019649
market_control::kw::579e431a81f331000139d5d0,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::57a7337e913c710001977341,kw_control,0.06486492582816115,-0.0730557820495936,3,0.7314833179809022,0.24407625304855812,0.02444042897053967
market_control::kw::57d6b1718e00270001b430cc,kw_control,-0.06807469201004503,-0.026179810674385202,1,0.7436141316380389,0.23004848384176463,0.02633738452019649
market_control::kw::5800eb53beccf8000100cb06,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::5823c1b185e40e00012f2e68,kw_control,0.1316652888925463,-0.06926366648785251,3,0.7247105410046907,0.25111932744758747,0.024170131547721904
market_control::kw::58660808db3e720001e228d9,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::586d71f3a205a90001e7ea7e,kw_control,-0.19474250282503003,-0.07816156922751266,3,0.7567179274067074,0.21755424288361602,0.02572782970967654
market_control::kw::5885129a6907b40001de425a,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::588a4cbb670d6600012bd509,kw_control,-0.6843279864440104,-0.11026260710346344,4,0.8013508869904555,0.17108433562849146,0.027564777381053
market_control::kw::58921be25c15e0000158405c,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::595f88cc135b5e0001928a9c,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::595fd893a670a10001941bf9,kw_control,0.21766445646164614,0.8910219270951386,2,0.6883576409552478,0.25202334325784526,0.05961901578690694
market_control::kw::5977986837d15f00016f1d08,kw_control,0.7234804667959527,-0.08303830320225501,4,0.6601106837385211,0.31913021086148324,0.02075910539999561
market_control::kw::5979ff012cce5b0001d0ddf0,kw_control,1.4743686948982369,-0.04288432714251335,2,0.5582220400489585,0.42426826025296477,0.017509699698076656
market_control::kw::59900f959d487e0001ac3a8e,kw_control,0.05569138459223961,0.7779644050161391,4,0.7084072414820392,0.2360778812497956,0.05551487726816525
market_control::kw::59921d7bb83f800001a5e452,kw_control,-0.6691514282189474,-0.0874992777375991,3,0.7995609570443725,0.17234118543327498,0.028097857522352596
market_control::kw::5992f3b9004c4f0001cc81ac,kw_control,0.13166528889254636,-0.06926366648785251,3,0.7247105410046907,0.25111932744758747,0.024170131547721904
market_control::kw::59931157f9db7d00018955b8,kw_control,0.09150295042799497,-0.07250595039042276,3,0.7288123664630296,0.24687778125082477,0.024309852286145676
market_control::kw::5996d2256b939900012d9f22,kw_control,-0.18857858658312898,0.8159446417884466,3,0.7288992627058608,0.21053110997781643,0.060569627316322816
market_control::kw::599ec7dc617ca80001fcd124,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::59a23b5d1bf9070001ce8d73,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::59d39f387d08030001f345a5,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::59d4fb316cc82800013e32d3,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::59d8ec713e5ea00001e1d09c,kw_control,-0.19474250282503003,-0.07816156922751266,3,0.7567179274067074,0.21755424288361602,0.02572782970967654
market_control::kw::59ea4fd07d6df50001e6930f,kw_control,-0.6843279864440104,-0.11026260710346344,4,0.8013508869904555,0.17108433562849146,0.027564777381053
market_control::kw::5a031384fe645f0001e9ea24,kw_control,0.8904282887081608,-0.05758032756318518,3,0.6392746284443539,0.340326294247655,0.020399077307991058
market_control::kw::5a0f2b13f2e3460001edbbcf,kw_control,0.06486492582816115,-0.0730557820495936,3,0.7314833179809022,0.24407625304855812,0.02444042897053967
market_control::kw::5a219133b4665b00011fd87a,kw_control,0.6042554469183785,-0.07274063385008926,3,0.6739155352331191,0.304493373492797,0.021591091274083908
market_control::kw::5a21f3731a1ad3000138f901,kw_control,0.09150295042799497,-0.07250595039042276,3,0.7288123664630296,0.24687778125082477,0.024309852286145676
market_control::kw::5a5a6318ac5624000153e365,kw_control,0.05569138459223961,0.7779644050161391,4,0.7084072414820392,0.2360778812497956,0.05551487726816525
market_control::kw::5a638fa6c0d836000107b8bc,kw_control,0.09150295042799497,-0.07250595039042276,3,0.7288123664630296,0.24687778125082477,0.024309852286145676
market_control::kw::5a65ea8363394a000155745d,kw_control,-0.6553061082647963,-0.08672159303610953,3,0.7983568938432501,0.17360022704942335,0.02804287910732649
market_control::kw::5a6ce61e9d65ec00017e9618,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
market_control::kw::5a775b638fe2dc00010579b2,kw_control,0.7234804667959527,-0.08303830320225501,4,0.6601106837385211,0.31913021086148324,0.02075910539999561
