subject_id,treatment_cell,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
control_kwlt::543e5938fdf99b73557f2136,kw_control,-0.6338459784526013,-0.08293100677771605,3,0.7964277519034667,0.17554450988327766,0.02802773821325554
control_kwlt::54f844c0fdf99b2bd032e149,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::55999e94fdf99b37246adab5,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::55e9aa1c735c45001043fbb6,kw_control,-0.6338459784526013,-0.08293100677771605,3,0.7964277519034667,0.17554450988327766,0.02802773821325554
control_kwlt::561f684fed6e5a000dc7e878,kw_control,1.6203285484162173,-0.047387732865296316,3,0.5357137745288646,0.4476675989661434,0.016618626504992032
control_kwlt::56610c81b018d100126e5da9,kw_control,0.09150295042799497,-0.07250595039042276,3,0.7288123664630296,0.24687778125082477,0.024309852286145676
control_kwlt::56a93b0a402025000bd62f17,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::56c81007ba8e37000d7b211e,kw_control,0.0354920961097864,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::5731d20d5b8b0600107d1995,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::57a3de9ddcff7d0001c7d35a,kw_control,-0.6843279864440104,-0.11026260710346344,4,0.8013508869904555,0.17108433562849146,0.027564777381053
control_kwlt::57a78015454e5400015f57ec,kw_control,-0.6843279864440104,-0.11026260710346344,4,0.8013508869904555,0.17108433562849146,0.027564777381053
control_kwlt::5815a5f000b325000184db51,kw_control,0.1316652888925463,-0.06926366648785251,3,0.7247105410046907,0.25111932744758747,0.024170131547721904
control_kwlt::58174d95a22f0f0001a3f0be,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::5841a2d39d65770001cebfa1,kw_control,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::589fc07f1521230001ebf494,kw_control,-0.10112948304054419,-0.05101403594573973,2,0.747285608713868,0.22682194287474444,0.02589244841138765
control_kwlt::58bd73414cdfd90001778323,kw_control,1.4001721134209464,-0.041899533733555525,2,0.5693224816765518,0.4127386565373724,0.01793886178607588
control_kwlt::58e4193733ae3700012735e5,kw_control,-0.617179808388059,-0.058969390017264374,2,0.7944639375342607,0.17694258445463806,0.02859347801110124
control_kwlt::590a361371adfd000150e4c2,kw_control,0.05569138459223965,0.7779644050161407,4,0.708407241482039,0.2360778812497956,0.05551487726816534
control_kwlt::5937fa89d3501e0001bc077b,kw_control,-0.10112948304054419,-0.05101403594573973,2,0.747285608713868,0.22682194287474444,0.02589244841138765
