subject_id,treatment_cell,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
control_kwlt::543e5938fdf99b73557f2136,lt_control,0.23611792323306724,-0.007750526821043635,1,0.6484058389618463,0.32702533097915953,0.02456883005899412
control_kwlt::54f844c0fdf99b2bd032e149,lt_control,-0.2937265868407035,-0.04414309944299319,3,0.7270089158503146,0.24614332647722914,0.026847757672456285
control_kwlt::55999e94fdf99b37246adab5,lt_control,-0.0617136494751363,-0.050676529070690035,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::55cf6a7b34e9060005e56ca2,lt_control,-0.06145404081055491,-0.03178165476072698,2,0.693409797223655,0.2807834826973948,0.025806720078950227
control_kwlt::55e9aa1c735c45001043fbb6,lt_control,-0.4294591868289597,-0.04038152156795794,3,0.7456166311746436,0.22667347524940568,0.027709893575950682
control_kwlt::561f684fed6e5a000dc7e878,lt_control,0.590029739940387,-0.02156818250944031,2,0.5941371097641254,0.38381927697070706,0.022043613265167624
control_kwlt::56610c81b018d100126e5da9,lt_control,-0.06145404081055491,-0.03178165476072698,2,0.693409797223655,0.2807834826973948,0.025806720078950227
control_kwlt::56a1ed56e1e5a6000c8fbe33,lt_control,-0.06145404081055491,-0.03178165476072698,2,0.693409797223655,0.2807834826973948,0.025806720078950227
control_kwlt::56a93b0a402025000bd62f17,lt_control,0.31909138758393263,-0.04632235777753479,4,0.6363830781276004,0.3404559467775654,0.02316097509483422
control_kwlt::56c81007ba8e37000d7b211e,lt_control,-0.06171364947513633,-0.05067652907069,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::5731d20d5b8b0600107d1995,lt_control,-0.06171364947513633,-0.05067652907069,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::57a3de9ddcff7d0001c7d35a,lt_control,0.6974165068802903,-0.041918484913020464,4,0.5777441953137519,0.4012970549122865,0.020958749773961633
control_kwlt::57a78015454e5400015f57ec,lt_control,-0.06145404081055491,-0.03178165476072698,2,0.693409797223655,0.2807834826973948,0.025806720078950227
control_kwlt::5815a5f000b325000184db51,lt_control,-0.06171364947513633,-0.05067652907069,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::58174d95a22f0f0001a3f0be,lt_control,-0.0617136494751363,-0.050676529070690035,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::5841a2d39d65770001cebfa1,lt_control,0.31909138758393263,-0.04632235777753479,4,0.6363830781276004,0.3404559467775654,0.02316097509483422
control_kwlt::589fc07f1521230001ebf494,lt_control,0.31909138758393274,-0.04632235777753479,4,0.6363830781276004,0.3404559467775654,0.02316097509483422
control_kwlt::58e4193733ae3700012735e5,lt_control,0.1683230347431761,-0.03886078796577347,3,0.6592451239606861,0.31650686138476325,0.02424801465455068
control_kwlt::590a361371adfd000150e4c2,lt_control,0.16832303474317606,-0.03886078796577347,3,0.6592451239606861,0.31650686138476325,0.02424801465455068
control_kwlt::5937fa89d3501e0001bc077b,lt_control,-0.028527228060907024,-0.01714256206145264,1,0.6882857048777671,0.28573775013476477,0.025976544987468205
control_kwlt::5944e8d4d8d2690001d0a6fa,lt_control,-0.012195746195124967,-0.019569750495561946,2,0.6859207616156298,0.28826327161138676,0.025815966772983624
control_kwlt::5953acc10dd7710001aec19e,lt_control,0.23611792323306724,-0.007750526821043635,1,0.6484058389618463,0.32702533097915953,0.02456883005899412
control_kwlt::59692d61355b45000106c592,lt_control,0.1683230347431761,-0.03886078796577347,3,0.6592451239606861,0.31650686138476325,0.02424801465455068
control_kwlt::596ba5ec6956b40001c59bf4,lt_control,-0.06171364947513633,-0.05067652907069,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::596e7593b174180001756f23,lt_control,-0.06171364947513633,-0.05067652907069,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::5978828cae36d500016ca8b9,lt_control,-0.0617136494751363,-0.050676529070690035,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::5979d62b1fc28a000191759a,lt_control,0.3899737060240676,-0.01564479442783766,2,0.6249817557512729,0.35159751489062746,0.023420729358099586
control_kwlt::599dacb43c7d1a0001deef97,lt_control,0.35680540695951446,-0.03216206362779759,3,0.6303571645305273,0.3463919393489349,0.023250896120537844
control_kwlt::59d264e2faf42e00012b6cba,lt_control,-0.06171364947513633,-0.05067652907069,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::59d37a45f7b7a00001198315,lt_control,-0.2545043127786113,-0.04126187975682976,3,0.7214308112126578,0.2518708562066857,0.026698332580656493
control_kwlt::59dc80b77f3d71000171d3c8,lt_control,0.31909138758393263,-0.04632235777753479,4,0.6363830781276004,0.3404559467775654,0.02316097509483422
control_kwlt::59dc8c1b24d7bf00012f099f,lt_control,-0.2545043127786113,-0.04126187975682976,3,0.7214308112126578,0.2518708562066857,0.026698332580656493
control_kwlt::59e60f9a3e4b5a00016aa0cd,lt_control,-0.24967046032542345,-0.012448044664391925,1,0.7201579966200553,0.2524141807839747,0.027427822595970007
control_kwlt::59e8502b7f3d71000171df0a,lt_control,0.31909138758393263,-0.04632235777753479,4,0.6363830781276004,0.3404559467775654,0.02316097509483422
control_kwlt::59e9d2c6c0d35a0001295448,lt_control,-0.4432262087428174,0.413896544207793,4,0.7353339905215043,0.22161279241119422,0.04305321706730151
control_kwlt::59edc2c816ecc200016ff9cc,lt_control,-0.0617136494751363,-0.050676529070690035,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::59fd4a71f5b5a3000139379c,lt_control,-0.028527228060907024,-0.01714256206145264,1,0.6882857048777671,0.28573775013476477,0.025976544987468205
control_kwlt::5a00e6da120fb300019480b3,lt_control,-0.4432262087428174,0.413896544207793,4,0.7353339905215043,0.22161279241119422,0.04305321706730151
control_kwlt::5a4e26a8f4c9dc0001b7a1b5,lt_control,0.31909138758393263,-0.04632235777753479,4,0.6363830781276004,0.3404559467775654,0.02316097509483422
control_kwlt::5a6f51ec46f0230001ce445f,lt_control,0.31909138758393263,-0.04632235777753479,4,0.6363830781276004,0.3404559467775654,0.02316097509483422
control_kwlt::5a7c5a98eea3d300016e1d1e,lt_control,0.20449895445842886,-0.024520849112612122,2,0.6535079475081452,0.3221259540516671,0.02436609844018762
control_kwlt::5a8e54c9f49c9a0001f3dc3f,lt_control,-0.2545043127786113,-0.04126187975682976,3,0.7214308112126578,0.2518708562066857,0.026698332580656493
control_kwlt::5a9a24ccb5e2110001c6c391,lt_control,0.13391676697141447,0.4352613380259654,3,0.6538570836438568,0.30747085837019655,0.03867205798594665
control_kwlt::5acb4bac9534ba0001c780aa,lt_control,-0.4482373615614157,-0.05485113130401024,4,0.7484564738128856,0.2241181293459907,0.027425396841123665
control_kwlt::5acc2d21436f550001003111,lt_control,0.35001768983694315,-0.030179754516424233,3,0.6313675806658176,0.34529477225990646,0.023337647074276043
