context_id,target_game,frame,vignette_family,normalized_family_mean_share,sd_across_agents,n_agents,ci95_low,ci95_high,total_points,n_vignettes,mean_points_per_vignette,ratings_source
T04,DG,Aid,DG,0.7914438502673797,0.058821592446091815,3,0.6453229142013395,0.93756478633342,740.0,6.0,123.33333333333333,round9_dg_c_neutral
T04,DG,Aid,TG,0.09224598930481284,0.023742795800489977,3,0.033265614872210206,0.1512263637374155,115.0,8.0,14.375,round9_dg_c_neutral
T04,DG,Aid,UG,0.11631016042780751,0.03739572788689532,3,0.023414022522123767,0.20920629833349125,145.0,8.0,18.125,round9_dg_c_neutral
T06,DG,Control,DG,0.8558951965065503,0.012599417608518895,3,0.8245965080779603,0.8871938849351404,816.6666666666666,6.0,136.11111111111111,round9_dg_c_neutral
T06,DG,Control,TG,0.06550218340611354,0.004492876727796116,3,0.05434125889193005,0.07666310792029703,83.33333333333333,8.0,10.416666666666666,round9_dg_c_neutral
T06,DG,Control,UG,0.07860262008733625,0.013942440341298589,3,0.043967678240384736,0.11323756193428776,100.0,8.0,12.5,round9_dg_c_neutral
T10,DG,Market,DG,0.8085106382978723,0.04523088631350992,3,0.6961508878663648,0.9208703887293798,760.0,6.0,126.66666666666667,round9_dg_c_neutral
T10,DG,Market,TG,0.09574468085106382,0.04313156031764378,3,-0.011400054704658616,0.20288941640678626,120.0,8.0,15.0,round9_dg_c_neutral
T10,DG,Market,UG,0.09574468085106382,0.008272487059257639,3,0.0751946837764225,0.11629467792570514,120.0,8.0,15.0,round9_dg_c_neutral
T11,DG,Bonus,DG,0.8225948808473081,0.06325865635082054,3,0.6654516670056705,0.9797380946889458,776.6666666666666,6.0,129.44444444444446,round9_dg_c_neutral
T11,DG,Bonus,TG,0.07678729037952339,0.04695415284618319,3,-0.03985329143335595,0.19342787219240273,96.66666666666667,8.0,12.083333333333334,round9_dg_c_neutral
T11,DG,Bonus,UG,0.10061782877316858,0.01989151305115292,3,0.05120457105716742,0.15003108648916974,126.66666666666667,8.0,15.833333333333334,round9_dg_c_neutral
T01,TG,Aid,DG,0.1558996262680192,0.062161248791388936,3,0.0014825239300280402,0.31031672860601034,121.66666666666667,6.0,20.27777777777778,round8_original
T01,TG,Aid,TG,0.7047517351841964,0.01697493625527465,3,0.6625836558763248,0.746919814492068,733.3333333333334,8.0,91.66666666666667,round8_original
T01,TG,Aid,UG,0.1393486385477843,0.07841433971164806,3,-0.055443379879247856,0.33414065697481643,145.0,8.0,18.125,round8_original
T02,TG,Control,DG,0.10810810810810811,0.007279665479632146,3,0.09002441656054676,0.12619179965566946,83.33333333333333,6.0,13.888888888888891,round8_original
T02,TG,Control,TG,0.7848648648648648,0.00975475174270699,3,0.7606327181911329,0.8090970115385968,806.6666666666666,8.0,100.83333333333333,round8_original
T02,TG,Control,UG,0.10702702702702702,0.01703441722233924,3,0.0647111888057334,0.14934286524832063,110.0,8.0,13.75,round8_original
T06,UG,Aid,DG,0.18644067796610167,0.0251576927923414,3,0.12394550455766662,0.24893585137453672,146.66666666666666,6.0,24.444444444444443,round8_original
T06,UG,Aid,TG,0.11122881355932203,0.04342465528432547,3,0.0033559897437140246,0.21910163737493005,116.66666666666667,8.0,14.583333333333334,round8_original
T06,UG,Aid,UG,0.7023305084745762,0.029016305352710225,3,0.630250010089535,0.7744110068596175,736.6666666666666,8.0,92.08333333333333,round8_original
T07,UG,Control,DG,0.10558199913457378,0.01902596643632319,3,0.058318878405829847,0.15284511986331772,81.33333333333333,6.0,13.555555555555555,round8_original
T07,UG,Control,TG,0.09606231068801385,0.009871557645471075,3,0.07154000206625963,0.12058461930976808,98.66666666666667,8.0,12.333333333333334,round8_original
T07,UG,Control,UG,0.7983556901774124,0.02296469680677367,3,0.7413082207986481,0.8554031595561766,820.0,8.0,102.5,round8_original
T08,UG,Bonus,DG,0.2184873949579832,0.03811042964742392,3,0.12381583945624922,0.3131589504597172,173.33333333333334,6.0,28.88888888888889,round8_original
T08,UG,Bonus,TG,0.06932773109243696,0.027111812381087754,3,0.001978255520144509,0.13667720666472943,73.33333333333333,8.0,9.166666666666666,round8_original
T08,UG,Bonus,UG,0.7121848739495799,0.053546926176901294,3,0.579166935280226,0.8452028126189337,753.3333333333334,8.0,94.16666666666667,round8_original
