replicate,dimension,category_vs_moral,estimand,estimate,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
6,game,S,base_slope,-0.19615680397877097,True,97,0.0007002766782606695,1067,990
6,game,S,comparison_slope,-0.17646459413645793,True,97,0.0007002766782606695,1067,990
6,game,S,difference,0.019692209842313055,True,97,0.0007002766782606695,1067,990
7,condition,C,base_slope,-0.13648374171256758,True,94,0.0004512935005505092,1050,990
7,condition,C,comparison_slope,-0.31970866634625494,True,94,0.0004512935005505092,1050,990
7,condition,C,difference,-0.1832249246336874,True,94,0.0004512935005505092,1050,990
7,condition,S,base_slope,-0.11205767334572603,True,94,0.0004512935005505092,1050,990
7,condition,S,comparison_slope,-0.32332188313677623,True,94,0.0004512935005505092,1050,990
7,condition,S,difference,-0.21126420979105018,True,94,0.0004512935005505092,1050,990
7,game,C,base_slope,-0.40329917377848895,True,94,0.0004512935005505092,1050,990
7,game,C,comparison_slope,-0.18469059511402988,True,94,0.0004512935005505092,1050,990
7,game,C,difference,0.21860857866445907,True,94,0.0004512935005505092,1050,990
7,game,S,base_slope,-0.4134353233777623,True,94,0.0004512935005505092,1050,990
7,game,S,comparison_slope,-0.13449451278237262,True,94,0.0004512935005505092,1050,990
7,game,S,difference,0.27894081059538967,True,94,0.0004512935005505092,1050,990
8,condition,C,base_slope,-0.3424708922900407,True,111,0.00048311569172909685,1050,990
8,condition,C,comparison_slope,-0.2896699641496801,True,111,0.00048311569172909685,1050,990
8,condition,C,difference,0.05280092814036058,True,111,0.00048311569172909685,1050,990
8,condition,S,base_slope,-0.09996224384126126,True,111,0.00048311569172909685,1050,990
8,condition,S,comparison_slope,-0.22944727947226745,True,111,0.00048311569172909685,1050,990
8,condition,S,difference,-0.1294850356310062,True,111,0.00048311569172909685,1050,990
8,game,C,base_slope,-0.42269243957942115,True,111,0.00048311569172909685,1050,990
8,game,C,comparison_slope,-0.10016387360349638,True,111,0.00048311569172909685,1050,990
8,game,C,difference,0.3225285659759248,True,111,0.00048311569172909685,1050,990
8,game,S,base_slope,-0.3649223654904228,True,111,0.00048311569172909685,1050,990
8,game,S,comparison_slope,-0.015821943095996494,True,111,0.00048311569172909685,1050,990
8,game,S,difference,0.3491004223944263,True,111,0.00048311569172909685,1050,990
9,condition,C,base_slope,-0.21337838427594508,True,106,0.003653774105337959,1058,990
9,condition,C,comparison_slope,-0.27573863884005,True,106,0.003653774105337959,1058,990
9,condition,C,difference,-0.06236025456410492,True,106,0.003653774105337959,1058,990
9,condition,S,base_slope,0.17721789001166866,True,106,0.003653774105337959,1058,990
9,condition,S,comparison_slope,-0.22830134465102436,True,106,0.003653774105337959,1058,990
9,condition,S,difference,-0.405519234662693,True,106,0.003653774105337959,1058,990
9,game,C,base_slope,-0.4148086889560491,True,106,0.003653774105337959,1058,990
9,game,C,comparison_slope,-0.04765937694291772,True,106,0.003653774105337959,1058,990
9,game,C,difference,0.3671493120131314,True,106,0.003653774105337959,1058,990
9,game,S,base_slope,-0.31081426677364976,True,106,0.003653774105337959,1058,990
9,game,S,comparison_slope,0.022282726923705642,True,106,0.003653774105337959,1058,990
9,game,S,difference,0.3330969936973554,True,106,0.003653774105337959,1058,990
10,condition,C,base_slope,-0.016340262501725263,True,104,0.0007895415006257123,1063,990
10,condition,C,comparison_slope,-0.2597754474638131,True,104,0.0007895415006257123,1063,990
10,condition,C,difference,-0.24343518496208785,True,104,0.0007895415006257123,1063,990
10,condition,S,base_slope,0.032881212785340314,True,104,0.0007895415006257123,1063,990
10,condition,S,comparison_slope,-0.2971799268794426,True,104,0.0007895415006257123,1063,990
10,condition,S,difference,-0.33006113966478295,True,104,0.0007895415006257123,1063,990
10,game,C,base_slope,-0.2893199351213772,True,104,0.0007895415006257123,1063,990
10,game,C,comparison_slope,-0.13300025490968462,True,104,0.0007895415006257123,1063,990
10,game,C,difference,0.1563196802116926,True,104,0.0007895415006257123,1063,990
10,game,S,base_slope,-0.37322040080216223,True,104,0.0007895415006257123,1063,990
10,game,S,comparison_slope,-0.08745614365985549,True,104,0.0007895415006257123,1063,990
10,game,S,difference,0.28576425714230674,True,104,0.0007895415006257123,1063,990
11,condition,C,base_slope,-0.6985617124063842,True,102,0.005328695326386246,1053,990
11,condition,C,comparison_slope,-0.27778500507095605,True,102,0.005328695326386246,1053,990
11,condition,C,difference,0.42077670733542816,True,102,0.005328695326386246,1053,990
11,condition,S,base_slope,-0.1702805263465157,True,102,0.005328695326386246,1053,990
11,condition,S,comparison_slope,-0.2661263132056188,True,102,0.005328695326386246,1053,990
11,condition,S,difference,-0.09584578685910311,True,102,0.005328695326386246,1053,990
11,game,C,base_slope,-0.44808477849858697,True,102,0.005328695326386246,1053,990
11,game,C,comparison_slope,-0.11902574392965959,True,102,0.005328695326386246,1053,990
11,game,C,difference,0.3290590345689274,True,102,0.005328695326386246,1053,990
11,game,S,base_slope,-0.4129941401089223,True,102,0.005328695326386246,1053,990
11,game,S,comparison_slope,-0.06949677408215127,True,102,0.005328695326386246,1053,990
11,game,S,difference,0.34349736602677106,True,102,0.005328695326386246,1053,990
12,condition,C,base_slope,-0.41173281276784285,True,108,0.0013495871971245244,1065,990
12,condition,C,comparison_slope,-0.3334229262761047,True,108,0.0013495871971245244,1065,990
12,condition,C,difference,0.07830988649173816,True,108,0.0013495871971245244,1065,990
12,condition,S,base_slope,-0.005610754719864301,True,108,0.0013495871971245244,1065,990
12,condition,S,comparison_slope,-0.3414525785274539,True,108,0.0013495871971245244,1065,990
12,condition,S,difference,-0.33584182380758965,True,108,0.0013495871971245244,1065,990
12,game,C,base_slope,-0.29854404199004597,True,108,0.0013495871971245244,1065,990
12,game,C,comparison_slope,-0.2607154430020278,True,108,0.0013495871971245244,1065,990
12,game,C,difference,0.03782859898801818,True,108,0.0013495871971245244,1065,990
12,game,S,base_slope,-0.35196313165357296,True,108,0.0013495871971245244,1065,990
12,game,S,comparison_slope,-0.1383078869100553,True,108,0.0013495871971245244,1065,990
12,game,S,difference,0.21365524474351766,True,108,0.0013495871971245244,1065,990
13,condition,C,base_slope,0.2904281708665055,True,102,0.0010385068503224737,1052,990
13,condition,C,comparison_slope,-0.2538942842080576,True,102,0.0010385068503224737,1052,990
13,condition,C,difference,-0.5443224550745631,True,102,0.0010385068503224737,1052,990
13,condition,S,base_slope,-0.05276285391469296,True,102,0.0010385068503224737,1052,990
13,condition,S,comparison_slope,-0.18447899363440792,True,102,0.0010385068503224737,1052,990
13,condition,S,difference,-0.13171613971971496,True,102,0.0010385068503224737,1052,990
13,game,C,base_slope,-0.32658401788212743,True,102,0.0010385068503224737,1052,990
13,game,C,comparison_slope,-0.1223607552541289,True,102,0.0010385068503224737,1052,990
13,game,C,difference,0.20422326262799853,True,102,0.0010385068503224737,1052,990
13,game,S,base_slope,-0.28153620163625404,True,102,0.0010385068503224737,1052,990
13,game,S,comparison_slope,-0.029362886725229576,True,102,0.0010385068503224737,1052,990
13,game,S,difference,0.25217331491102446,True,102,0.0010385068503224737,1052,990
14,condition,C,base_slope,-0.2669360552376268,True,112,0.001328566777954343,1059,990
14,condition,C,comparison_slope,-0.3590125563557691,True,112,0.001328566777954343,1059,990
14,condition,C,difference,-0.09207650111814229,True,112,0.001328566777954343,1059,990
14,condition,S,base_slope,-0.06291034332104958,True,112,0.001328566777954343,1059,990
14,condition,S,comparison_slope,-0.27242936619216374,True,112,0.001328566777954343,1059,990
14,condition,S,difference,-0.20951902287111418,True,112,0.001328566777954343,1059,990
14,game,C,base_slope,-0.4340648151217529,True,112,0.001328566777954343,1059,990
14,game,C,comparison_slope,-0.21271144791198637,True,112,0.001328566777954343,1059,990
14,game,C,difference,0.2213533672097665,True,112,0.001328566777954343,1059,990
14,game,S,base_slope,-0.30057066766299634,True,112,0.001328566777954343,1059,990
14,game,S,comparison_slope,-0.1308059663020979,True,112,0.001328566777954343,1059,990
14,game,S,difference,0.16976470136089844,True,112,0.001328566777954343,1059,990
15,condition,C,base_slope,-0.35800862169295833,True,104,0.004101873948387014,1069,990
15,condition,C,comparison_slope,-0.40228829427511326,True,104,0.004101873948387014,1069,990
15,condition,C,difference,-0.04427967258215494,True,104,0.004101873948387014,1069,990
15,condition,S,base_slope,-0.16214110086588462,True,104,0.004101873948387014,1069,990
15,condition,S,comparison_slope,-0.3580321708543136,True,104,0.004101873948387014,1069,990
15,condition,S,difference,-0.195891069988429,True,104,0.004101873948387014,1069,990
15,game,C,base_slope,-0.3914047487183945,True,104,0.004101873948387014,1069,990
15,game,C,comparison_slope,-0.3547743622537814,True,104,0.004101873948387014,1069,990
15,game,C,difference,0.036630386464613085,True,104,0.004101873948387014,1069,990
15,game,S,base_slope,-0.3543734847961061,True,104,0.004101873948387014,1069,990
15,game,S,comparison_slope,-0.26713158136220577,True,104,0.004101873948387014,1069,990
15,game,S,difference,0.08724190343390031,True,104,0.004101873948387014,1069,990
16,condition,C,base_slope,-0.6468166136762286,True,113,0.0010715049811973465,1073,990
16,condition,C,comparison_slope,-0.27535019286687995,True,113,0.0010715049811973465,1073,990
16,condition,C,difference,0.3714664208093486,True,113,0.0010715049811973465,1073,990
16,condition,S,base_slope,-0.04640484784151246,True,113,0.0010715049811973465,1073,990
16,condition,S,comparison_slope,-0.24020074958065785,True,113,0.0010715049811973465,1073,990
16,condition,S,difference,-0.19379590173914538,True,113,0.0010715049811973465,1073,990
16,game,C,base_slope,-0.3818735160988498,True,113,0.0010715049811973465,1073,990
16,game,C,comparison_slope,-0.14858501065738394,True,113,0.0010715049811973465,1073,990
16,game,C,difference,0.23328850544146584,True,113,0.0010715049811973465,1073,990
16,game,S,base_slope,-0.37519273119476526,True,113,0.0010715049811973465,1073,990
16,game,S,comparison_slope,-0.0115718843844686,True,113,0.0010715049811973465,1073,990
16,game,S,difference,0.36362084681029666,True,113,0.0010715049811973465,1073,990
17,condition,C,base_slope,0.24567285288127944,True,117,0.0008090070824806617,1071,990
17,condition,C,comparison_slope,-0.4075953974411632,True,117,0.0008090070824806617,1071,990
17,condition,C,difference,-0.6532682503224426,True,117,0.0008090070824806617,1071,990
17,condition,S,base_slope,-0.019783865218841366,True,117,0.0008090070824806617,1071,990
17,condition,S,comparison_slope,-0.42165112560053203,True,117,0.0008090070824806617,1071,990
17,condition,S,difference,-0.4018672603816907,True,117,0.0008090070824806617,1071,990
17,game,C,base_slope,-0.3910364112050599,True,117,0.0008090070824806617,1071,990
17,game,C,comparison_slope,-0.2982532282411747,True,117,0.0008090070824806617,1071,990
17,game,C,difference,0.09278318296388523,True,117,0.0008090070824806617,1071,990
17,game,S,base_slope,-0.4401571656910688,True,117,0.0008090070824806617,1071,990
17,game,S,comparison_slope,-0.23644892890189315,True,117,0.0008090070824806617,1071,990
17,game,S,difference,0.20370823678917563,True,117,0.0008090070824806617,1071,990
18,condition,C,base_slope,-0.028563602252253344,True,115,0.00040987449317775315,1050,990
18,condition,C,comparison_slope,-0.29550840921725824,True,115,0.00040987449317775315,1050,990
18,condition,C,difference,-0.2669448069650049,True,115,0.00040987449317775315,1050,990
18,condition,S,base_slope,-0.0495673789382527,True,115,0.00040987449317775315,1050,990
18,condition,S,comparison_slope,-0.30686007556884587,True,115,0.00040987449317775315,1050,990
18,condition,S,difference,-0.2572926966305932,True,115,0.00040987449317775315,1050,990
18,game,C,base_slope,-0.4393938280979453,True,115,0.00040987449317775315,1050,990
18,game,C,comparison_slope,-0.11152811547093022,True,115,0.00040987449317775315,1050,990
18,game,C,difference,0.3278657126270151,True,115,0.00040987449317775315,1050,990
18,game,S,base_slope,-0.43834931550048706,True,115,0.00040987449317775315,1050,990
18,game,S,comparison_slope,-0.0889520491825056,True,115,0.00040987449317775315,1050,990
18,game,S,difference,0.34939726631798146,True,115,0.00040987449317775315,1050,990
19,condition,C,base_slope,-0.23995392073974378,True,103,0.0003538148638486671,1054,990
19,condition,C,comparison_slope,-0.2851135698731925,True,103,0.0003538148638486671,1054,990
19,condition,C,difference,-0.04515964913344868,True,103,0.0003538148638486671,1054,990
19,condition,S,base_slope,-0.196746822692639,True,103,0.0003538148638486671,1054,990
19,condition,S,comparison_slope,-0.213849515536496,True,103,0.0003538148638486671,1054,990
19,condition,S,difference,-0.01710269284385702,True,103,0.0003538148638486671,1054,990
19,game,C,base_slope,-0.39628578016864424,True,103,0.0003538148638486671,1054,990
19,game,C,comparison_slope,-0.16810297171625474,True,103,0.0003538148638486671,1054,990
19,game,C,difference,0.2281828084523895,True,103,0.0003538148638486671,1054,990
19,game,S,base_slope,-0.2901229033552193,True,103,0.0003538148638486671,1054,990
19,game,S,comparison_slope,-0.12891525741395457,True,103,0.0003538148638486671,1054,990
19,game,S,difference,0.16120764594126472,True,103,0.0003538148638486671,1054,990
20,condition,C,base_slope,0.2768538395889692,True,110,0.00040754816005517114,1061,990
20,condition,C,comparison_slope,-0.282447374036037,True,110,0.00040754816005517114,1061,990
20,condition,C,difference,-0.5593012136250062,True,110,0.00040754816005517114,1061,990
20,condition,S,base_slope,-0.031280111305975536,True,110,0.00040754816005517114,1061,990
20,condition,S,comparison_slope,-0.23583198826135743,True,110,0.00040754816005517114,1061,990
20,condition,S,difference,-0.20455187695538188,True,110,0.00040754816005517114,1061,990
20,game,C,base_slope,-0.23021616602435915,True,110,0.00040754816005517114,1061,990
20,game,C,comparison_slope,-0.23288918685906412,True,110,0.00040754816005517114,1061,990
20,game,C,difference,-0.00267302083470497,True,110,0.00040754816005517114,1061,990
20,game,S,base_slope,-0.27872352790109217,True,110,0.00040754816005517114,1061,990
20,game,S,comparison_slope,-0.09177295003587735,True,110,0.00040754816005517114,1061,990
20,game,S,difference,0.18695057786521482,True,110,0.00040754816005517114,1061,990
21,condition,C,base_slope,-0.28625054281882584,True,115,0.00306728080405283,1071,990
21,condition,C,comparison_slope,-0.25818193928208355,True,115,0.00306728080405283,1071,990
21,condition,C,difference,0.02806860353674228,True,115,0.00306728080405283,1071,990
21,condition,S,base_slope,-0.11105480693875779,True,115,0.00306728080405283,1071,990
21,condition,S,comparison_slope,-0.3192710350478975,True,115,0.00306728080405283,1071,990
21,condition,S,difference,-0.20821622810913973,True,115,0.00306728080405283,1071,990
21,game,C,base_slope,-0.3470029852754791,True,115,0.00306728080405283,1071,990
21,game,C,comparison_slope,-0.10068782349885719,True,115,0.00306728080405283,1071,990
21,game,C,difference,0.24631516177662194,True,115,0.00306728080405283,1071,990
21,game,S,base_slope,-0.44546284137772035,True,115,0.00306728080405283,1071,990
21,game,S,comparison_slope,-0.06014181477761177,True,115,0.00306728080405283,1071,990
21,game,S,difference,0.3853210266001086,True,115,0.00306728080405283,1071,990
22,condition,C,base_slope,-0.10744797635590803,True,124,0.002176117449419035,1052,990
