dimension,category_vs_moral,base_group,comparison_group,n_frames,n_unique_pid,r_squared,base_slope_estimate,base_slope_std_error,base_slope_p_value,base_slope_ci95_low,base_slope_ci95_high,comparison_slope_estimate,comparison_slope_std_error,comparison_slope_p_value,comparison_slope_ci95_low,comparison_slope_ci95_high,difference_estimate,difference_std_error,difference_p_value,difference_ci95_low,difference_ci95_high
game,S,KW,LT,1060,990,0.16528398287170976,-0.30511636145651494,0.09456649802851208,0.0012532555156461555,-0.4904666975923986,-0.11976602532063127,-0.09432302212813287,0.06498551206732571,0.1466554491838158,-0.22169462578009125,0.033048581523825504,0.21079333932838207,0.11498510797726713,0.06676942164190083,-0.014577472307061495,0.43616415096382566
game,C,KW,LT,1060,990,0.16528398287170976,-0.33749399845866657,0.08865408547219028,0.00014074039641254196,-0.5112560059841595,-0.16373199093317362,-0.1717778758715159,0.06766949524882018,0.011133415267600777,-0.30441008655920343,-0.039145665183828365,0.16571612258715065,0.11187275866766443,0.1385290171043785,-0.05355448440147162,0.38498672957577296
condition,S,Control,Market,1060,990,0.1641762250580625,-0.06823307807492084,0.11225774774493807,0.5433034723243279,-0.28825826365499946,0.15179210750515776,-0.2426947555885649,0.06698002943700054,0.0002907671153329179,-0.373975613285086,-0.11141389789204384,-0.17446167751364405,0.13124328037508248,0.18374905219274196,-0.4316985070488057,0.08277515202151758
condition,C,Control,Market,1060,990,0.1641762250580625,-0.2973736730405717,0.27841649667815815,0.28548024495001645,-0.8430700065297617,0.24832266044861828,-0.27562045579500244,0.05991379224502839,4.219154530806124e-06,-0.39305148859525807,-0.1581894229947468,0.02175321724556928,0.284564697011045,0.9390659949227637,-0.535993588896079,0.5795000233872174
