reference,substantive_reference,rater_a,rater_b,pearson,spearman,n
A,dg_kw_control,similarity_dg_kw_control_rater_1,similarity_dg_kw_control_rater_2,0.9546745954916078,0.9527745295686881,4800
A,dg_kw_control,similarity_dg_kw_control_rater_1,similarity_dg_kw_control_rater_3,0.8381708385370039,0.8330569658832061,4800
A,dg_kw_control,similarity_dg_kw_control_rater_2,similarity_dg_kw_control_rater_3,0.8081499294166332,0.8152806825032322,4800
B,dg_kw_market,similarity_dg_kw_market_rater_1,similarity_dg_kw_market_rater_2,0.8669293235260621,0.8962469937893398,4800
B,dg_kw_market,similarity_dg_kw_market_rater_1,similarity_dg_kw_market_rater_3,0.8663246443606776,0.8934517417549072,4800
B,dg_kw_market,similarity_dg_kw_market_rater_2,similarity_dg_kw_market_rater_3,0.8168681708440189,0.8627222750442577,4800
