frame_id,PROLIFIC_PID,treatment,Market,allocation_kept,share_sent,cell,fitted_probability_N,fitted_probability_M,fitted_probability_S,fitted_probability_C,fitted_probability_sum,dominant_fitted_category
67aa74d967279f04eeb4b708|lt|1,67aa74d967279f04eeb4b708,lt,1,9.0,0.25,lt_market,0.5232049084797714,0.289409909290533,0.10956046172294273,0.07782472050675282,1.0,N
67abb13cc30b930b97db75e7|kw|0,67abb13cc30b930b97db75e7,kw,0,11.0,0.08333333333333333,kw_control,0.21548238872507414,0.3935347662436407,0.34800414103380467,0.04297870399748057,1.0,M
67aca52029509c486774daa1|kw|0,67aca52029509c486774daa1,kw,0,6.0,0.5,kw_control,0.26832287196285165,0.6054647135355427,0.07756585516600942,0.048646559335596244,1.0,M
67ace31300abf1fb686b8ce1|kw|0,67ace31300abf1fb686b8ce1,kw,0,6.0,0.5,kw_control,0.26832287196285165,0.6054647135355427,0.07756585516600942,0.048646559335596244,1.0,M
67ace31300abf1fb686b8ce1|lt|1,67ace31300abf1fb686b8ce1,lt,1,10.0,0.16666666666666666,lt_market,0.5232049084797712,0.2894099092905332,0.10956046172294279,0.07782472050675279,0.9999999999999999,N
67ace3fc5892a4d45463156b|lt|1,67ace3fc5892a4d45463156b,lt,1,12.0,0.0,lt_market,0.5307238885570658,0.13931562299753836,0.2500313253968015,0.07992916304859429,0.9999999999999999,N
67add383589c14add2318b76|lt|1,67add383589c14add2318b76,lt,1,6.0,0.5,lt_market,0.6410250901089982,0.150209778763432,0.12005137377829438,0.08871375734927534,0.9999999999999999,N
67b8ac4a64ff597388f3fcc1|kw|1,67b8ac4a64ff597388f3fcc1,kw,1,4.0,0.6666666666666666,kw_market,0.4422793113611828,0.1268082203993384,0.2360198431328816,0.19489262510659716,1.0,N
67c0ee3c27278be601aa384d|lt|1,67c0ee3c27278be601aa384d,lt,1,12.0,0.0,lt_market,0.25823533213909444,0.23013059461097748,0.19670474489230738,0.3149293283576207,1.0,C
67c4d6db7736e277b8582936|kw|0,67c4d6db7736e277b8582936,kw,0,8.0,0.3333333333333333,kw_control,0.25823533213909444,0.23013059461097746,0.19670474489230738,0.3149293283576207,1.0,C
67d0adc35dda5bdeb6a0c22a|lt|1,67d0adc35dda5bdeb6a0c22a,lt,1,12.0,0.0,lt_market,0.4217873563866346,0.1212726852271967,0.09738287079664866,0.35955708758952004,1.0,N
67d1926649cf8a4fd2b27d37|lt|1,67d1926649cf8a4fd2b27d37,lt,1,12.0,0.0,lt_market,0.3357767117613912,0.10917109292844536,0.21519430896261757,0.3398578863475459,1.0,C
67d7de6a1dfb7a9e45d11308|kw|1,67d7de6a1dfb7a9e45d11308,kw,1,6.0,0.5,kw_market,0.6410250901089982,0.150209778763432,0.12005137377829438,0.08871375734927534,0.9999999999999999,N
67d89d92eb4323537c13b656|kw|0,67d89d92eb4323537c13b656,kw,0,6.0,0.5,kw_control,0.20095562738128403,0.578336427536698,0.18101917837970857,0.03968876670230937,1.0,M
67d89d92eb4323537c13b656|lt|1,67d89d92eb4323537c13b656,lt,1,9.0,0.25,lt_market,0.3214808913321807,0.42528681969110654,0.08525717009932833,0.16797511887738448,1.0,M
67d94f701307ac0887c44909|kw|1,67d94f701307ac0887c44909,kw,1,7.0,0.4166666666666667,kw_market,0.30897072933412256,0.4249345842067375,0.21108999058196765,0.055004695877172334,1.0,M
67ddd4f85ab870ffd90cc888|kw|1,67ddd4f85ab870ffd90cc888,kw,1,11.0,0.08333333333333333,kw_market,0.33084698498665677,0.11100332828334869,0.3836462357206358,0.17450345100935885,1.0,S
