target_game,vignette_family,comparison,difference_share,sd_across_agents,n_agents,ci95_low,ci95_high,ratings_source
DG,DG,Aid-Bonus,-0.031039402767151447,0.03478724458599224,3,-0.11745570893434719,0.055376903400044294,round9_dg_c_neutral
DG,DG,Market-Control,-0.04777529745747048,0.05123523879968327,3,-0.17505068633508394,0.079500091420143,round9_dg_c_neutral
DG,TG,Aid-Bonus,0.015127301776516439,0.02731023922306432,3,-0.05271509339697208,0.08296969695000496,round9_dg_c_neutral
DG,TG,Market-Control,0.030641813521927075,0.038647540020005214,3,-0.06536399811175854,0.12664762515561268,round9_dg_c_neutral
DG,UG,Aid-Bonus,0.015912100990635017,0.019076609596060213,3,-0.031476824321058576,0.06330102630232862,round9_dg_c_neutral
DG,UG,Market-Control,0.017133483935543353,0.021885963187420136,3,-0.03723426257835111,0.07150123044943782,round9_dg_c_neutral
TG,DG,Aid-Bonus,-0.06299525772204706,0.09879057516466876,3,-0.3084046510633356,0.18241413561924144,round8_original
TG,DG,Market-Control,0.020174873225656132,0.06459036028350348,3,-0.14027647657616982,0.1806262230274821,round8_original
TG,TG,Aid-Bonus,-0.004748063702803303,0.03967776721274461,3,-0.10331310155773976,0.09381697415213316,round8_original
TG,TG,Market-Control,-0.03189576090627041,0.12223476901689666,3,-0.3355437603196537,0.27175223850711294,round8_original
TG,UG,Aid-Bonus,0.06774332142485041,0.07025299318757272,3,-0.10677478832230124,0.24226143117200205,round8_original
TG,UG,Market-Control,0.01172088768061415,0.06099565510906302,3,-0.13980071943442435,0.16324249479565267,round8_original
UG,DG,Aid-Bonus,-0.03190030122630027,0.04810625070500669,3,-0.15140285277801752,0.08760225032541696,round8_original
UG,DG,Market-Control,0.05226465993695876,0.019234082377418766,3,0.004484550550503452,0.10004476932341407,round8_original
UG,TG,Aid-Bonus,0.04210905149004857,0.023081032159287626,3,-0.015227410925116258,0.0994455139052134,round8_original
UG,TG,Market-Control,0.018994297622501936,0.04868878632609655,3,-0.10195535263405696,0.13994394787906084,round8_original
UG,UG,Aid-Bonus,-0.01020875026374827,0.02779177959335303,3,-0.07924735803084618,0.05882985750334963,round8_original
UG,UG,Market-Control,-0.07125895755946073,0.054024201657021126,3,-0.20546251424791867,0.0629445991289972,round8_original
