context_id,target_game,frame,class,share,sd_across_agents,n_agents,ci95_low,ci95_high,points,ratings_source
T04,DG,Aid,C,0.2833333333333333,0.02254624876411445,3,0.22732534651778602,0.33934132014888063,283.3333333333333,round9_dg_c_neutral
T04,DG,Aid,M,0.36000000000000004,0.02179449471770333,3,0.30585947376117373,0.41414052623882636,360.00000000000006,round9_dg_c_neutral
T04,DG,Aid,S,0.3566666666666667,0.015275252316519458,3,0.31872083632927206,0.3946124970040613,356.6666666666667,round9_dg_c_neutral
T06,DG,Control,C,0.31666666666666665,0.0076376261582597384,3,0.2976937514979693,0.335639581835364,316.66666666666663,round9_dg_c_neutral
T06,DG,Control,M,0.3383333333333334,0.0057735026918962346,3,0.3239911575669625,0.35267550909970424,338.33333333333337,round9_dg_c_neutral
T06,DG,Control,S,0.345,0.004999999999999949,3,0.33257931144078134,0.3574206885592186,345.0,round9_dg_c_neutral
T10,DG,Market,C,0.3333333333333333,0.0028867513459481273,3,0.3261622454501479,0.34050442121651875,333.3333333333333,round9_dg_c_neutral
T10,DG,Market,M,0.31,0.0050000000000000044,3,0.2975793114407812,0.3224206885592188,310.0,round9_dg_c_neutral
T10,DG,Market,S,0.35666666666666663,0.0057735026918962545,3,0.3423244909002957,0.37100884243303756,356.66666666666663,round9_dg_c_neutral
T11,DG,Bonus,C,0.40499999999999997,0.04769696007084729,3,0.2865141827477026,0.5234858172522974,404.99999999999994,round9_dg_c_neutral
T11,DG,Bonus,M,0.37333333333333335,0.02081665999466134,3,0.32162188320596596,0.42504478346070074,373.33333333333337,round9_dg_c_neutral
T11,DG,Bonus,S,0.22166666666666668,0.03547299442298794,3,0.13354686346849923,0.30978646986483416,221.66666666666669,round9_dg_c_neutral
T01,TG,Aid,C-C,0.25833333333333336,0.0028867513459481273,3,0.2511622454501479,0.2655044212165188,258.33333333333337,round8_original
T01,TG,Aid,C-D,0.245,0.022912878474779207,3,0.188081254493908,0.301918745506092,245.0,round8_original
T01,TG,Aid,M-C,0.26499999999999996,0.02783882181415013,3,0.1958445328781711,0.3341554671218288,264.99999999999994,round8_original
T01,TG,Aid,S-D,0.23166666666666666,0.01892969448600091,3,0.18464269872031105,0.27869063461302224,231.66666666666666,round8_original
T02,TG,Control,C-C,0.265,0.013228756555322964,3,0.23213794696012197,0.29786205303987806,265.0,round8_original
T02,TG,Control,C-D,0.24666666666666667,0.015275252316519465,3,0.20872083632927202,0.2846124970040613,246.66666666666669,round8_original
T02,TG,Control,M-C,0.24833333333333332,0.022546248764114492,3,0.1923253465177859,0.3043413201488807,248.33333333333331,round8_original
T02,TG,Control,S-D,0.24,0.009999999999999992,3,0.21515862288156248,0.26484137711843747,240.0,round8_original
T06,UG,Aid,C-C,0.215,0.03968626966596885,3,0.11641384088036599,0.313586159119634,215.0,round8_original
T06,UG,Aid,C-D,0.19499999999999998,0.042720018726587664,3,0.08887759043061223,0.30112240956938774,194.99999999999997,round8_original
T06,UG,Aid,M-C,0.26166666666666666,0.01892969448600093,3,0.214642698720311,0.3086906346130223,261.6666666666667,round8_original
T06,UG,Aid,S-C,0.3283333333333333,0.09928914005737653,3,0.0816854361402681,0.5749812305263985,328.3333333333333,round8_original
T07,UG,Control,C-C,0.25666666666666665,0.011547005383792521,3,0.2279823151339248,0.2853510181994085,256.66666666666663,round8_original
T07,UG,Control,C-D,0.255,0.008660254037844393,3,0.23348673635044362,0.2765132636495564,255.0,round8_original
T07,UG,Control,M-C,0.24166666666666667,0.014433756729740649,3,0.20581122725073936,0.277522106082594,241.66666666666666,round8_original
T07,UG,Control,S-C,0.24666666666666667,0.005773502691896261,3,0.23232449090029575,0.26100884243303757,246.66666666666669,round8_original
T08,UG,Bonus,C-C,0.2866666666666667,0.03055050463303893,3,0.21077500599187737,0.362558327341456,286.6666666666667,round8_original
T08,UG,Bonus,C-D,0.21,0.014999999999999996,3,0.17273793432234372,0.24726206567765627,210.0,round8_original
T08,UG,Bonus,M-C,0.33166666666666667,0.01607275126832156,3,0.2917397391079446,0.37159359422538873,331.6666666666667,round8_original
T08,UG,Bonus,S-C,0.17166666666666666,0.010408329997330658,3,0.145810941602983,0.19752239173035033,171.66666666666666,round8_original
T10,TG,Bonus,C-C,0.30833333333333335,0.023629078131263068,3,0.24963544925136025,0.3670312174153064,308.33333333333337,round8_original
T10,TG,Bonus,C-D,0.20833333333333334,0.010408329997330656,3,0.18247760826964968,0.234189058397017,208.33333333333334,round8_original
T10,TG,Bonus,M-C,0.32,0.03999999999999998,3,0.22063449152624995,0.4193655084737501,320.0,round8_original
T10,TG,Bonus,S-D,0.16333333333333333,0.040414518843273795,3,0.06293810296873695,0.26372856369792974,163.33333333333334,round8_original
T11,UG,Market,C-C,0.285,0.02500000000000001,3,0.22289655720390614,0.34710344279609384,285.0,round8_original
T11,UG,Market,C-D,0.26166666666666666,0.02466441431158121,3,0.200396864934729,0.3229364683986043,261.6666666666667,round8_original
T11,UG,Market,M-C,0.18000000000000002,0.03,3,0.10547586864468744,0.2545241313553126,180.00000000000003,round8_original
T11,UG,Market,S-C,0.2733333333333333,0.020207259421636904,3,0.2231357181510351,0.3235309485156315,273.3333333333333,round8_original
T12,TG,Market,C-C,0.28,0.010000000000000002,3,0.2551586228815625,0.30484137711843756,280.0,round8_original
T12,TG,Market,C-D,0.25166666666666665,0.007637626158259734,3,0.23269375149796934,0.27063958183536396,251.66666666666666,round8_original
T12,TG,Market,M-C,0.2316666666666667,0.02254624876411448,3,0.1756586798511193,0.2876746534822141,231.66666666666669,round8_original
T12,TG,Market,S-D,0.23666666666666666,0.005773502691896247,3,0.22232449090029577,0.25100884243303756,236.66666666666666,round8_original
