period,model,term,coefficient,std_error_hc3,p_value,ci95_low,ci95_high,n,r_squared,rmse
1,base,const,0.42015669515669396,0.0077004887382392745,0.0,0.4050640145663887,0.43524937574699923,1732,0.05121296962043531,0.2130521019035138
1,base,market_control_study,-0.1046597465952309,0.010186283965507343,9.174716803698396e-25,-0.12462449630392314,-0.08469499688653867,1732,0.05121296962043531,0.2130521019035138
1,subject,const,0.42051626216578153,0.007691472696083315,0.0,0.40544125269338505,0.435591271638178,1732,0.052257599363318974,0.2129347827108291
1,subject,market_control_study,-0.10520273775110983,0.010189933312867017,5.478310728178016e-25,-0.1251746400491941,-0.08523083545302557,1732,0.052257599363318974,0.2129347827108291
1,subject,subject_effect_S,-0.01654133595227625,0.014781670002750559,0.2631214600180475,-0.045512876789023424,0.012430204884470924,1732,0.052257599363318974,0.2129347827108291
1,subject,subject_effect_C,-0.018560907227612198,0.019280503524239097,0.3357093837785886,-0.05634999973891841,0.019228185283694018,1732,0.052257599363318974,0.2129347827108291
1,treatment,const,0.4293019676081494,0.009308354321660738,0.0,0.4110579283823566,0.44754600683394224,1732,0.1480738355777379,0.20188424672656455
1,treatment,market_control_study,-0.02356695761561145,0.011208903280313357,0.03550763799995902,-0.045536004351218504,-0.0015979108800044002,1732,0.1480738355777379,0.20188424672656455
1,treatment,treatment_effect_S,0.07235131165176688,0.036845755560249945,0.04957339161370335,0.00013495777051054925,0.1445676655330232,1732,0.1480738355777379,0.20188424672656455
1,treatment,treatment_effect_C,-0.10823842002540451,0.019075371538600307,1.3929787538482192e-08,-0.14562546123278153,-0.07085137881802751,1732,0.1480738355777379,0.20188424672656455
1,full,const,0.42922667661721536,0.00932197243313006,0.0,0.4109559463834052,0.4474974068510255,1732,0.14825073241265418,0.20186328567393744
1,full,market_control_study,-0.023714988573120786,0.011227824420241294,0.03467252233035041,-0.04572112006153303,-0.0017088570847085365,1732,0.14825073241265418,0.20186328567393744
1,full,subject_effect_S,-0.00774288897915467,0.013959098123471287,0.5791107928015676,-0.035102218557819045,0.019616440599509705,1732,0.14825073241265418,0.20186328567393744
1,full,subject_effect_C,0.003837887589831597,0.019131597638398494,0.8410077160233683,-0.033659354748141,0.0413351299278042,1732,0.14825073241265418,0.20186328567393744
1,full,treatment_effect_S,0.07094360993086042,0.037021046355961006,0.055326306494688074,-0.0016163075968109591,0.1435035274585318,1732,0.14825073241265418,0.20186328567393744
1,full,treatment_effect_C,-0.10758554924519764,0.019150557883358208,1.9331391196103945e-08,-0.14511995298042935,-0.07005114550996594,1732,0.14825073241265418,0.20186328567393744
2,base,const,0.40897435897435797,0.007815695803655529,0.0,0.3936558766850723,0.42429284126364364,1732,0.031190676020417252,0.23432655647291886
2,base,market_control_study,-0.08890025260993045,0.010846000271715537,2.4729545962510187e-16,-0.11015802251880455,-0.06764248270105636,1732,0.031190676020417252,0.23432655647291886
2,subject,const,0.4092822897064207,0.007833635703100719,0.0,0.3939286458603362,0.42463593355250523,1732,0.03175496931603494,0.2342583035351778
2,subject,market_control_study,-0.08936525913336006,0.010877531405653895,2.1113643413911535e-16,-0.11068482892914505,-0.06804568933757507,1732,0.03175496931603494,0.2342583035351778
2,subject,subject_effect_S,-0.01585614473238211,0.01742710477601025,0.36289879318966467,-0.050012642448168165,0.018300352983403947,1732,0.03175496931603494,0.2342583035351778
2,subject,subject_effect_C,-0.009017346365280966,0.02064149301617205,0.6622162651036254,-0.04947392926411324,0.0314392365335513,1732,0.03175496931603494,0.2342583035351778
2,treatment,const,0.41815805396349676,0.009275564604716884,0.0,0.39997828140197716,0.43633782652501635,1732,0.08670961217469242,0.2275133047830471
2,treatment,market_control_study,-0.02005074797569374,0.012453514415882697,0.1073875181175125,-0.04445918771177419,0.004357691760386716,1732,0.08670961217469242,0.2275133047830471
2,treatment,treatment_effect_S,0.07291329022915374,0.04144631508227764,0.07853972324481996,-0.008319994624009674,0.15414657508231716,1732,0.08670961217469242,0.2275133047830471
2,treatment,treatment_effect_C,-0.09525681724515467,0.021407308664723516,8.597693254059325e-06,-0.137214371233945,-0.05329926325636434,1732,0.08670961217469242,0.2275133047830471
2,full,const,0.41836325218480264,0.009263975970130336,0.0,0.40020619292970266,0.4365203114399026,1732,0.08832260419929217,0.2273123066520976
2,full,market_control_study,-0.01977127560672113,0.012464769027669971,0.11270015223773672,-0.04420177397656462,0.0046592227631223615,1732,0.08832260419929217,0.2273123066520976
2,full,subject_effect_S,-0.021117506020346462,0.017098217242624125,0.216804217189706,-0.054629396015731496,0.012394383975038573,1732,0.08832260419929217,0.2273123066520976
2,full,subject_effect_C,-0.02705467795274848,0.019998043920310328,0.17609837490210656,-0.06625012379780691,0.012140767892309955,1732,0.08832260419929217,0.2273123066520976
2,full,treatment_effect_S,0.07096265484141058,0.04148120798580885,0.0871331579352317,-0.010339018845990047,0.15226432852881122,1732,0.08832260419929217,0.2273123066520976
2,full,treatment_effect_C,-0.09519317109761194,0.021407226930675732,8.71681161202386e-06,-0.1371505648906123,-0.05323577730461158,1732,0.08832260419929217,0.2273123066520976
