fold,penalty_lambda,n_train,n_test,n_unseen_test_subjects,log_loss,accuracy,converged,iterations,gradient_max,mean_log_loss,selected
1,0.03125,7117,2350,16,0.8609003366135017,0.6727659574468086,True,362,0.0008926269534894615,0.8723327333526688,False
2,0.03125,7137,2330,17,0.8660992011719779,0.6858369098712447,True,365,0.0013938194348446231,0.8723327333526688,False
3,0.03125,7075,2392,19,0.9103022053854777,0.6780936454849499,True,340,0.00043886052607389203,0.8723327333526688,False
4,0.03125,7072,2395,15,0.8520291902397179,0.683089770354906,True,369,0.0008569355287204594,0.8723327333526688,False
1,0.0625,7117,2350,16,0.8066381014566743,0.6753191489361702,True,281,0.001123830935854997,0.8177187877675053,False
2,0.0625,7137,2330,17,0.8129131817308163,0.688412017167382,True,256,0.001053266526475416,0.8177187877675053,False
3,0.0625,7075,2392,19,0.8517227039795471,0.6810200668896321,True,285,0.0076095998576449775,0.8177187877675053,False
4,0.0625,7072,2395,15,0.7996011639029834,0.6843423799582463,True,268,0.006345890945799404,0.8177187877675053,False
1,0.125,7117,2350,16,0.7571244605304976,0.6778723404255319,True,237,0.003027261074038279,0.7676701594212992,False
2,0.125,7137,2330,17,0.7642494105973948,0.6918454935622318,True,225,0.000970196387558131,0.7676701594212992,False
3,0.125,7075,2392,19,0.7976683014509848,0.6789297658862876,True,208,0.006940642180939927,0.7676701594212992,False
4,0.125,7072,2395,15,0.7516384651063198,0.683089770354906,True,210,0.0016537975001416072,0.7676701594212992,False
1,0.25,7117,2350,16,0.7156406647336789,0.6782978723404255,True,171,0.001203248789323097,0.725835994588778,False
2,0.25,7137,2330,17,0.7234705357301469,0.6922746781115879,True,161,0.006730752686163299,0.725835994588778,False
3,0.25,7075,2392,19,0.7524552647042778,0.6793478260869565,True,177,0.0005934732586910796,0.725835994588778,False
4,0.25,7072,2395,15,0.7117775131870085,0.6897703549060543,True,179,0.0033925591756803763,0.725835994588778,False
1,0.5,7117,2350,16,0.6858277960481309,0.6863829787234043,True,126,0.00857435130154327,0.696159214579505,False
2,0.5,7137,2330,17,0.6942148769330904,0.6879828326180257,True,129,0.008974689736680697,0.696159214579505,False
3,0.5,7075,2392,19,0.7206815860865015,0.6760033444816054,True,134,0.005678463436649683,0.696159214579505,False
4,0.5,7072,2395,15,0.6839125992502973,0.6847599164926931,True,129,0.0012701954873135524,0.696159214579505,False
1,1.0,7117,2350,16,0.6690459960675442,0.6897872340425532,True,102,0.0008594991216201997,0.6799869553100049,False
2,1.0,7137,2330,17,0.6777752081608654,0.6849785407725322,True,95,0.0011608229356685484,0.6799869553100049,False
3,1.0,7075,2392,19,0.7038331904827348,0.6705685618729097,True,103,0.0012983624265386906,0.6799869553100049,False
4,1.0,7072,2395,15,0.6692934265288751,0.6835073068893528,True,97,0.0006913991824539778,0.6799869553100049,False
1,2.0,7117,2350,16,0.6630708607362472,0.6919148936170213,True,61,0.0027449336273632774,0.6747397915304923,True
2,2.0,7137,2330,17,0.6719394082814065,0.6785407725321888,True,64,0.0038425315096066726,0.6747397915304923,True
3,2.0,7075,2392,19,0.6987198348873283,0.6676421404682275,True,68,0.0013957824513020078,0.6747397915304923,True
4,2.0,7072,2395,15,0.6652290622169875,0.6826722338204593,True,62,0.0009755027624733792,0.6747397915304923,True
1,4.0,7117,2350,16,0.6631408283720304,0.6851063829787234,True,38,0.0019401910280866241,0.675328799036902,False
2,4.0,7137,2330,17,0.671970764027076,0.671244635193133,True,40,0.001510070426925747,0.675328799036902,False
3,4.0,7075,2392,19,0.6996202619367491,0.6663879598662207,True,47,0.0009855598131428556,0.675328799036902,False
4,4.0,7072,2395,15,0.6665833418117525,0.6784968684759917,True,43,0.003137769262596013,0.675328799036902,False
1,8.0,7117,2350,16,0.6649565479634129,0.683404255319149,True,26,0.012476799260452864,0.6774319227668845,False
2,8.0,7137,2330,17,0.6736902940729862,0.6523605150214592,True,32,0.0009249515938263286,0.6774319227668845,False
3,8.0,7075,2392,19,0.7019663350746795,0.6634615384615384,True,31,0.0005360533852455385,0.6774319227668845,False
4,8.0,7072,2395,15,0.6691145139564594,0.681419624217119,True,27,0.0020683620976023054,0.6774319227668845,False
1,16.0,7117,2350,16,0.6665769676565482,0.6885106382978723,True,48,0.00043277785096229593,0.679199339018814,False
2,16.0,7137,2330,17,0.6752362515059113,0.6476394849785407,True,46,0.0012239743022495198,0.679199339018814,False
3,16.0,7075,2392,19,0.7038823475562439,0.6684782608695652,True,46,0.0019081967744924988,0.679199339018814,False
4,16.0,7072,2395,15,0.6711017893565527,0.6851774530271398,True,47,0.0009514472448136635,0.679199339018814,False
