subject_id,subject_effect_S,subject_effect_C,subject_weight_M,subject_weight_S,subject_weight_C
control_kwlt::543e5938fdf99b73557f2136,-0.08712357231065113,-0.047541318409937985,0.7143318164845439,0.26035325460692316,0.025314928908532954
control_kwlt::54f844c0fdf99b2bd032e149,-0.15537712368909026,-0.09147248098719217,0.7256361973889516,0.2497247940887009,0.02463900852234756
control_kwlt::55999e94fdf99b37246adab5,-0.007237253851305399,-0.09688516547417071,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::55cf6a7b34e9060005e56ca2,-0.10580483698852944,-0.028290965225515108,0.71685781417592,0.2572354226863671,0.02590676313771291
control_kwlt::55e9aa1c735c45001043fbb6,-0.5678432444288124,-0.08009920776496143,0.7833122730206378,0.1896117981350145,0.027075928844347806
control_kwlt::561f684fed6e5a000dc7e878,1.33260704432267,-0.043760257188253944,0.45543988996993967,0.5288100174138377,0.015750092616222625
control_kwlt::56610c81b018d100126e5da9,-0.0175629728395419,-0.06440061804453436,0.7037070454564158,0.2718016739365722,0.02449128060701194
control_kwlt::56a1ed56e1e5a6000c8fbe33,-0.10580483698852944,-0.028290965225515108,0.71685781417592,0.2572354226863671,0.02590676313771291
control_kwlt::56a93b0a402025000bd62f17,0.2934357239989487,-0.09051568370868383,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::56c81007ba8e37000d7b211e,-0.007237253851305395,-0.09688516547417073,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5731d20d5b8b0600107d1995,-0.0072372538513053985,-0.09688516547417063,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::57a3de9ddcff7d0001c7d35a,0.29343572399894874,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::57a78015454e5400015f57ec,-0.4242498912334839,-0.0819993010526113,0.7643081123845519,0.20937871591028442,0.026313171705163625
control_kwlt::5815a5f000b325000184db51,0.073832359519384,-0.08292214890148597,0.6892797020704525,0.2872104595569122,0.023509838372635213
control_kwlt::58174d95a22f0f0001a3f0be,-0.007237253851305399,-0.09688516547417071,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5841a2d39d65770001cebfa1,0.2934357239989488,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::589fc07f1521230001ebf494,0.2505604384671562,-0.07176020694986578,0.6594390737126576,0.3178919211973688,0.022669005089973493
control_kwlt::58bd73414cdfd90001778323,0.7003822128701671,-0.0245726962745261,0.5776538861082168,0.40171562743239164,0.020630486459391556
control_kwlt::58e4193733ae3700012735e5,-0.14055267846633884,-0.061445076844493345,0.7228185514231333,0.2518961979191768,0.025285250657689877
control_kwlt::590a361371adfd000150e4c2,0.09940651637171155,0.3707433832211587,0.6756050985066778,0.2881340449304048,0.036260856562917436
control_kwlt::5937fa89d3501e0001bc077b,-0.12327971988851406,-0.041989609608548285,0.7198071650806936,0.25452574090628693,0.025667094013019365
control_kwlt::5944e8d4d8d2690001d0a6fa,0.024181315179566985,-0.03593868709598246,0.6965170227354964,0.2785605924221197,0.024922384842383898
control_kwlt::5953acc10dd7710001aec19e,0.18049731886909784,-0.05721172219659958,0.6711268255120262,0.3054328449435648,0.02344032954440894
control_kwlt::59692d61355b45000106c592,0.08479608235096767,-0.035919269768617264,0.6866723412492134,0.2887842373822352,0.024543421368551404
control_kwlt::596ba5ec6956b40001c59bf4,-0.1788391484555632,-0.09077944534041633,0.7291747632878731,0.24603904726323902,0.02478618944888783
control_kwlt::596e7593b174180001756f23,-0.037028211238415716,-0.049910679556004534,0.7065295920753156,0.2685132569485028,0.02495715097618155
control_kwlt::5978828cae36d500016ca8b9,-0.007237253851305389,-0.09688516547417063,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5979d62b1fc28a000191759a,0.561902858105156,-0.03759600719479972,0.6035368832444518,0.3751267762456958,0.02133634050985249
control_kwlt::59930c0fb9269d00016ec252,0.23849228217808888,-0.04065363344766892,0.6610075533278494,0.31554589846268555,0.023446548209465016
control_kwlt::599dacb43c7d1a0001deef97,0.395161666761139,-0.06433029208047143,0.6340497493417407,0.3440534495390166,0.021896801119242568
control_kwlt::59d264e2faf42e00012b6cba,0.11251517596287974,-0.06961130185229315,0.6826880414686928,0.2937317067694609,0.023580251761846326
control_kwlt::59d37a45f7b7a00001198315,-0.5830219661092219,-0.09385592295140038,0.785549496746285,0.18766249818027933,0.02678800507343556
control_kwlt::59dc80b77f3d71000171d3c8,0.5843045484947537,-0.08382297674210826,0.60003986966893,0.3797153219588151,0.020244808372254952
control_kwlt::59dc8c1b24d7bf00012f099f,-0.5599672020111613,-0.08041496065442032,0.7823060705704601,0.19066435156213013,0.027029577867409813
control_kwlt::59e60f9a3e4b5a00016aa0cd,-0.3257861255112982,-0.026677795876675778,0.7494295719559536,0.22334344412626625,0.02722698391778015
control_kwlt::59e8502b7f3d71000171df0a,0.44065997179176636,-0.06383338499536939,0.6259177109265786,0.35247517297507375,0.021607116098347704
control_kwlt::59e9d2c6c0d35a0001295448,-0.3136504157875685,0.3420656607394264,0.7385459131555826,0.22266229111461117,0.038791795729806226
control_kwlt::59edc2c816ecc200016ff9cc,-0.32061008980202566,-0.10283750113790686,0.7502246912669788,0.22452056836949075,0.02525474036353043
control_kwlt::59fd4a71f5b5a3000139379c,0.09308957401297173,-0.05032242542959101,0.6855625165676174,0.29028793153888766,0.024149551893495033
control_kwlt::5a00e6da120fb300019480b3,-0.24797350951418612,0.3631624440507716,0.7286508920371574,0.2323020047262619,0.0390471032365807
control_kwlt::5a4e26a8f4c9dc0001b7a1b5,0.6994824068748604,-0.07080376313433814,0.5784130844410905,0.40186262760444613,0.01972428795446341
control_kwlt::5a6f51ec46f0230001ce445f,0.19517362408104058,-0.07227239579761176,0.668893995204996,0.3080993909705675,0.023006613824436497
control_kwlt::5a7c5a98eea3d300016e1d1e,-0.1924400743890851,0.38256559586552713,0.7200670047114812,0.2406255392862636,0.03930745600225528
control_kwlt::5a8e54c9f49c9a0001f3dc3f,-0.23799628900253617,-0.08884379681815424,0.7379589815877461,0.23688279144015742,0.025158226972096513
control_kwlt::5a9a24ccb5e2110001c6c391,-0.14914825120469427,0.35878295422730533,0.7143791019742235,0.2475683691424762,0.038052528883300366
control_kwlt::5acb4bac9534ba0001c780aa,-0.6498440962506293,-0.10827162040531577,0.7942525364440723,0.17902558415158148,0.026721879404346147
control_kwlt::5acc2d21436f550001003111,0.3620771263990368,-0.06525505585644165,0.6399212492061581,0.33798515872595064,0.022093592067891188
control_kwlt::5ad9b1111771b700010a0f1a,-0.32061008980202593,-0.10283750113790675,0.7502246912669788,0.2245205683694907,0.02525474036353043
control_kwlt::5aed87e375deca0001627011,-0.23799628900253617,-0.08884379681815424,0.7379589815877461,0.23688279144015742,0.025158226972096513
control_kwlt::5af15fc9e1b5b8000148a99d,-0.231547691765837,0.3626519071541721,0.7263099112335026,0.23479873221093805,0.0388913565555593
control_kwlt::5af36fff59229a0001d1bd6a,0.4752838475201447,-0.06457254956591253,0.6196933167123,0.3589450895045089,0.021361593783191083
control_kwlt::5af4579eb625f70001e0cfad,-0.017562972839541884,-0.06440061804453436,0.7037070454564158,0.2718016739365722,0.02449128060701194
control_kwlt::5afd6d5b56fe2c0001690178,0.2934357239989487,-0.09051568370868383,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5b0d39f4641b1200010ef716,0.4269160786799365,-0.06248870869619289,0.6283606526382326,0.34991273612634,0.02172661123542753
control_kwlt::5b2405d534ffd00001b41156,-0.4254843016343344,-0.06825663132393166,0.7641933121018978,0.20913286231301498,0.02667382558508726
