task,context_id,rater_a,rater_b,pearson,spearman,mean_absolute_point_difference,total_variation_distance
structural_all22,T01,relative-agent-1,relative-agent-2,0.8915067437791961,0.7359484519869396,15.454545454545455,0.17
structural_all22,T01,relative-agent-1,relative-agent-3,0.9489457578330661,0.8798063586707057,8.272727272727273,0.091
structural_all22,T01,relative-agent-2,relative-agent-3,0.83123786823333,0.6339139143219472,20.181818181818183,0.222
structural_all22,T02,relative-agent-1,relative-agent-2,0.9753054681705046,0.5753621446612437,7.0,0.077
structural_all22,T02,relative-agent-1,relative-agent-3,0.9650424429149247,0.5641344869307139,7.636363636363637,0.084
structural_all22,T02,relative-agent-2,relative-agent-3,0.9894506699840026,0.9694000328369164,3.727272727272727,0.041
structural_all22,T03,relative-agent-1,relative-agent-2,0.9446932016300703,0.41690553799227875,11.363636363636363,0.125
structural_all22,T03,relative-agent-1,relative-agent-3,0.943891530122764,0.3847628892599467,9.818181818181818,0.108
structural_all22,T03,relative-agent-2,relative-agent-3,0.9998848208396482,0.9610788070086439,6.363636363636363,0.07
structural_all22,T04,relative-agent-1,relative-agent-2,0.9651507168784677,0.9883895494119334,7.0,0.077
structural_all22,T04,relative-agent-1,relative-agent-3,0.9390168799077839,0.8684022812622715,14.909090909090908,0.164
structural_all22,T04,relative-agent-2,relative-agent-3,0.9700507216806112,0.8589748651737958,13.181818181818182,0.145
structural_all22,T05,relative-agent-1,relative-agent-2,0.9490700524414698,0.8896457122604641,11.727272727272727,0.129
structural_all22,T05,relative-agent-1,relative-agent-3,0.9476393939281087,0.8416723315793333,16.363636363636363,0.18
structural_all22,T05,relative-agent-2,relative-agent-3,0.9735563637786382,0.9390102110780203,18.181818181818183,0.2
structural_all22,T06,relative-agent-1,relative-agent-2,0.903379694697864,0.9450269577484961,13.090909090909092,0.144
structural_all22,T06,relative-agent-1,relative-agent-3,0.8281746346372496,0.8979593279612469,17.545454545454547,0.193
structural_all22,T06,relative-agent-2,relative-agent-3,0.9428641378740331,0.9118231157536926,10.818181818181818,0.119
structural_all22,T07,relative-agent-1,relative-agent-2,0.9769722718715755,0.955955793601867,5.818181818181818,0.064
structural_all22,T07,relative-agent-1,relative-agent-3,0.9761746647306597,0.5448033740024119,6.363636363636363,0.07
structural_all22,T07,relative-agent-2,relative-agent-3,0.9996851108853686,0.5586191243912337,3.6363636363636362,0.04
structural_all22,T08,relative-agent-1,relative-agent-2,0.9720121379329361,0.9886892061436057,9.363636363636363,0.103
structural_all22,T08,relative-agent-1,relative-agent-3,0.900295219039369,0.973544525398295,15.090909090909092,0.166
structural_all22,T08,relative-agent-2,relative-agent-3,0.9349356065551222,0.9818373585163647,12.090909090909092,0.133
structural_all22,T09,relative-agent-1,relative-agent-2,0.9455002493705649,0.8882611431268117,11.545454545454545,0.127
structural_all22,T09,relative-agent-1,relative-agent-3,0.9622918798848039,0.7808858289859218,8.909090909090908,0.098
structural_all22,T09,relative-agent-2,relative-agent-3,0.9789712510970803,0.9118856936727039,9.909090909090908,0.109
structural_all22,T10,relative-agent-1,relative-agent-2,0.9764619795805956,0.9889799773172961,6.909090909090909,0.076
structural_all22,T10,relative-agent-1,relative-agent-3,0.9577438239709886,0.9815843765977011,9.545454545454545,0.105
structural_all22,T10,relative-agent-2,relative-agent-3,0.9388985366671077,0.9813070537000638,11.818181818181818,0.13
structural_all22,T11,relative-agent-1,relative-agent-2,0.9613365222491791,0.9521927049863413,9.454545454545455,0.104
structural_all22,T11,relative-agent-1,relative-agent-3,0.8688205542187446,0.8814165719346232,16.818181818181817,0.185
structural_all22,T11,relative-agent-2,relative-agent-3,0.8934906856007456,0.9262873878557378,15.909090909090908,0.175
structural_all22,T12,relative-agent-1,relative-agent-2,0.9921551466363769,0.9977377161570512,5.7272727272727275,0.063
structural_all22,T12,relative-agent-1,relative-agent-3,0.8579362762453577,0.9397071728930705,20.272727272727273,0.223
structural_all22,T12,relative-agent-2,relative-agent-3,0.8943682556206166,0.9445087629901838,18.545454545454547,0.204
within_game,T01,relative-agent-1,relative-agent-2,0.886975613733753,0.7380952380952381,25.0,0.1
within_game,T01,relative-agent-1,relative-agent-3,0.6584192090564548,0.5868368683374969,17.5,0.07
within_game,T01,relative-agent-2,relative-agent-3,0.8778966676951045,0.934148484292342,37.5,0.15
within_game,T02,relative-agent-1,relative-agent-2,,,16.25,0.065
within_game,T02,relative-agent-1,relative-agent-3,0.0,0.0,17.5,0.07
within_game,T02,relative-agent-2,relative-agent-3,,,10.0,0.04
within_game,T03,relative-agent-1,relative-agent-2,0.4193139346887673,0.4330127018922194,37.666666666666664,0.113
within_game,T03,relative-agent-1,relative-agent-3,-0.4455210556068154,-0.4330127018922194,38.0,0.114
within_game,T03,relative-agent-2,relative-agent-3,0.2500000000000001,0.25000000000000006,0.3333333333333333,0.001
within_game,T04,relative-agent-1,relative-agent-2,0.792624833011479,0.7142857142857143,30.0,0.09
within_game,T04,relative-agent-1,relative-agent-3,0.5184627813201599,0.5428571428571429,46.666666666666664,0.14
within_game,T04,relative-agent-2,relative-agent-3,0.6381910426393882,0.6,51.666666666666664,0.155
within_game,T05,relative-agent-1,relative-agent-2,0.9350060500422146,0.9276336570439174,36.666666666666664,0.11
within_game,T05,relative-agent-1,relative-agent-3,0.9024631834543972,0.7714285714285715,33.333333333333336,0.1
within_game,T05,relative-agent-2,relative-agent-3,0.8908489173882369,0.753702346348183,13.333333333333334,0.04
within_game,T06,relative-agent-1,relative-agent-2,0.7395188579713206,0.8383383833392813,37.5,0.15
within_game,T06,relative-agent-1,relative-agent-3,0.4852224039701721,0.5767848150667337,47.5,0.19
within_game,T06,relative-agent-2,relative-agent-3,0.925959747850797,0.9027075674773933,16.25,0.065
within_game,T07,relative-agent-1,relative-agent-2,,,16.25,0.065
within_game,T07,relative-agent-1,relative-agent-3,,,16.25,0.065
within_game,T07,relative-agent-2,relative-agent-3,,,0.0,0.0
within_game,T08,relative-agent-1,relative-agent-2,0.943096396213177,0.9761904761904763,17.5,0.07
within_game,T08,relative-agent-1,relative-agent-3,0.6686133468916349,0.730552019767088,38.75,0.155
within_game,T08,relative-agent-2,relative-agent-3,0.7484839964442656,0.8143858581010162,26.25,0.105
within_game,T09,relative-agent-1,relative-agent-2,0.6358670639975962,0.5428571428571429,36.666666666666664,0.11
within_game,T09,relative-agent-1,relative-agent-3,0.7900241077491482,0.48571428571428577,25.0,0.075
